date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Receivables Adjustments Allowances,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-10-31,57633000.0,57633000.0,5959000.0,1173589000.0,1173589000.0,724179000.0,1173589000.0,5959000.0,1173589000.0,1173589000.0,1597307000.0,423718000.0,1173589000.0,-86120000.0,-86120000.0,772199000.0,486934000.0,576000.0,576000.0,0.0,207227000.0,41354000.0,14592000.0,13218000.0,13218000.0,4530000.0,5041000.0,5041000.0,3973000.0,3973000.0,165873000.0,9491000.0,9491000.0,1986000.0,1986000.0,26284000.0,128112000.0,19010000.0,109102000.0,24893000.0,21094000.0,84209000.0,1804534000.0,914482000.0,19839000.0,40207000.0,40207000.0,854436000.0,-1634873000.0,2489309000.0,20474000.0,134880000.0,2128850000.0,192860000.0,12245000.0,0.0,890052000.0,4636000.0,12889000.0,61767000.0,1000.0,1616000.0,60150000.0,222595000.0,,12670000.0,14004000.0,195921000.0,-1166000.0,197087000.0,588165000.0,95909000.0,492256000.0,270090000.0,222166000.0
2025-07-31,57587000.0,57587000.0,27000.0,1125551000.0,1125551000.0,697311000.0,1125551000.0,27000.0,1125551000.0,1125551000.0,1538000000.0,412449000.0,1125551000.0,-68504000.0,-68504000.0,710398000.0,483081000.0,576000.0,576000.0,0.0,214765000.0,39840000.0,39824000.0,,,,,,16000.0,16000.0,174925000.0,,,11000.0,11000.0,,174914000.0,74563000.0,100351000.0,,,100351000.0,1752765000.0,880529000.0,15122000.0,26419000.0,26419000.0,838988000.0,-1657948000.0,2496936000.0,21037000.0,108743000.0,2162233000.0,192625000.0,12298000.0,0.0,872236000.0,42073000.0,,63490000.0,22000.0,1560000.0,61908000.0,190875000.0,,,,190875000.0,-1184000.0,192059000.0,575798000.0,96277000.0,479521000.0,308375000.0,171146000.0
2025-04-30,58711000.0,58711000.0,30000.0,1100920000.0,1100920000.0,689023000.0,1100920000.0,30000.0,1100920000.0,1100920000.0,1496769000.0,395849000.0,1100920000.0,-87295000.0,-87295000.0,698423000.0,489205000.0,587000.0,587000.0,0.0,206263000.0,39480000.0,39461000.0,,,,,,19000.0,19000.0,166783000.0,,,11000.0,11000.0,,166772000.0,77288000.0,89484000.0,,,89484000.0,1703032000.0,847226000.0,14941000.0,24727000.0,24727000.0,807558000.0,-1616788000.0,2424346000.0,20324000.0,122474000.0,2080102000.0,189230000.0,12216000.0,0.0,855806000.0,40221000.0,,61201000.0,24000.0,1239000.0,59938000.0,195977000.0,-1171000.0,31737000.0,,165411000.0,,,558407000.0,27699000.0,530708000.0,341978000.0,188730000.0
2025-01-31,63303000.0,63303000.0,2652000.0,1127749000.0,1127749000.0,758191000.0,1127749000.0,2652000.0,1127749000.0,1127749000.0,1494209000.0,366460000.0,1127749000.0,-120325000.0,-120325000.0,731709000.0,515742000.0,623000.0,623000.0,0.0,210462000.0,47819000.0,47798000.0,,,,,,21000.0,21000.0,162643000.0,,,2631000.0,2631000.0,,160012000.0,74076000.0,85936000.0,,,85936000.0,1704671000.0,783837000.0,14690000.0,19338000.0,19338000.0,749809000.0,-1554577000.0,2304386000.0,19048000.0,79488000.0,2009224000.0,185482000.0,11144000.0,0.0,920834000.0,32613000.0,,57583000.0,2000.0,1856000.0,55725000.0,188438000.0,-1104000.0,39831000.0,,149711000.0,,,642200000.0,0.0,642200000.0,,
2024-10-31,61949000.0,61949000.0,22959000.0,1120864000.0,1120864000.0,747251000.0,1120864000.0,22959000.0,1120864000.0,1120864000.0,1480759000.0,359895000.0,1120864000.0,-86319000.0,-86319000.0,691807000.0,514757000.0,619000.0,619000.0,0.0,231300000.0,47489000.0,18214000.0,12993000.0,12993000.0,4310000.0,8910000.0,8910000.0,3062000.0,3062000.0,183811000.0,12375000.0,12375000.0,19897000.0,19897000.0,31188000.0,120351000.0,14597000.0,105754000.0,27037000.0,24200000.0,78717000.0,1712059000.0,780997000.0,12681000.0,23059000.0,23059000.0,745257000.0,-1574100000.0,2319357000.0,19268000.0,91213000.0,2008701000.0,188756000.0,11419000.0,0.0,931062000.0,6175000.0,7645000.0,56527000.0,1000.0,398000.0,56128000.0,220046000.0,,11532000.0,7684000.0,200830000.0,-1126000.0,201956000.0,640669000.0,42184000.0,598485000.0,184411000.0,414074000.0
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1196000.0,27391000.0,,,,,,,,,
