date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2025-12-31,92653000.0,92653000.0,230660000.0,1549170000.0,1111664000.0,5247478000.0,1807399000.0,1111664000.0,3698308000.0,5247478000.0,3698308000.0,3698308000.0,6372000.0,6372000.0,226742000.0,3465194000.0,3465194000.0,0.0,2465671000.0,1789972000.0,240802000.0,1549170000.0,1549170000.0,675699000.0,209746000.0,,,,465953000.0,225435000.0,240518000.0,240518000.0,6163979000.0,3680881000.0,319871000.0,18881000.0,2586644000.0,196903000.0,2389741000.0,755485000.0,-1918253000.0,2673738000.0,,,,,,2483098000.0,78863000.0,,35489000.0,530178000.0,108443000.0,261356000.0,160379000.0,520058000.0,32396000.0,487662000.0,-297000.0,487959000.0,1318510000.0,1318510000.0
2025-09-30,92575000.0,92575000.0,445900000.0,1549185000.0,895609000.0,5059034000.0,1572264000.0,895609000.0,3509849000.0,5059034000.0,3509849000.0,3509849000.0,5481000.0,5481000.0,72886000.0,3431482000.0,3431482000.0,0.0,2586055000.0,1781473000.0,232288000.0,1549185000.0,1549185000.0,804582000.0,232272000.0,,,,572310000.0,287466000.0,284844000.0,284844000.0,6095904000.0,3719058000.0,306417000.0,17490000.0,2614240000.0,224499000.0,2389741000.0,780911000.0,-1907337000.0,2688248000.0,,,,,,2376846000.0,74460000.0,,33521000.0,605342000.0,125178000.0,300486000.0,179678000.0,560238000.0,16849000.0,543389000.0,-298000.0,543687000.0,1103285000.0,1103285000.0
2025-06-30,92798000.0,92798000.0,383722000.0,1549200000.0,794931000.0,4986269000.0,1447926000.0,794931000.0,3437069000.0,4986269000.0,3437069000.0,3437069000.0,6355000.0,6355000.0,-8389000.0,3439103000.0,3439103000.0,0.0,2560455000.0,1762125000.0,212925000.0,1549200000.0,1549200000.0,798330000.0,266228000.0,,,,532102000.0,251980000.0,280122000.0,280122000.0,5997524000.0,3751268000.0,293220000.0,21637000.0,2642138000.0,252397000.0,2389741000.0,794273000.0,-1879567000.0,2673840000.0,,,,,,2246256000.0,68774000.0,,30759000.0,637961000.0,126416000.0,334259000.0,177286000.0,343284000.0,14958000.0,328326000.0,-285000.0,328611000.0,1165478000.0,1165478000.0
2025-03-31,92920000.0,92920000.0,528039000.0,1549215000.0,729093000.0,4941527000.0,1384093000.0,729093000.0,3392312000.0,4941527000.0,3392312000.0,3392312000.0,-5013000.0,-5013000.0,-33983000.0,3431308000.0,3431308000.0,0.0,2540819000.0,1757637000.0,208422000.0,1549215000.0,1549215000.0,783182000.0,234538000.0,,,,548644000.0,287981000.0,260663000.0,260663000.0,5933131000.0,3765856000.0,277309000.0,23433000.0,2663219000.0,273478000.0,2389741000.0,801895000.0,-1845365000.0,2647260000.0,98223000.0,2159937000.0,366061000.0,23039000.0,0.0,2167275000.0,74557000.0,0.0,32808000.0,640992000.0,133483000.0,322814000.0,184695000.0,397742000.0,11023000.0,386719000.0,-309000.0,387028000.0,1021176000.0,1021176000.0
2024-12-31,93559000.0,93559000.0,779798000.0,1549230000.0,610861000.0,4929663000.0,1289002000.0,610861000.0,3380433000.0,4929663000.0,3380433000.0,3380433000.0,-10069000.0,-10069000.0,-65348000.0,3455850000.0,3455850000.0,0.0,2582663000.0,1774802000.0,225572000.0,1549230000.0,1549230000.0,807861000.0,256185000.0,,,,551676000.0,268335000.0,283341000.0,283341000.0,5963096000.0,3866233000.0,250095000.0,25692000.0,2769572000.0,332338000.0,2437234000.0,820874000.0,-1806645000.0,2627519000.0,,,,,,2096863000.0,77690000.0,116435000.0,38368000.0,656216000.0,142509000.0,311046000.0,202661000.0,438722000.0,10859000.0,427863000.0,-313000.0,428176000.0,769432000.0,769432000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,412179000.0,412179000.0,412179000.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,411853000.0,411853000.0,411853000.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
