date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-10-31,848600000.0,848600000.0,1754400000.0,4777500000.0,699500000.0,18525500000.0,2775800000.0,699500000.0,308600000.0,14056600000.0,18026000000.0,14056600000.0,14056600000.0,400000.0,400000.0,1010500000.0,13044000000.0,1700000.0,1700000.0,,7522400000.0,4785700000.0,409600000.0,117800000.0,33900000.0,33900000.0,4224400000.0,255000000.0,3969400000.0,2736700000.0,32200000.0,32200000.0,553100000.0,53600000.0,499500000.0,499500000.0,252400000.0,15700000.0,1883300000.0,916000000.0,40100000.0,967300000.0,333600000.0,333600000.0,633700000.0,21579000000.0,16066500000.0,119600000.0,930700000.0,403500000.0,403500000.0,128400000.0,128400000.0,13357100000.0,2294900000.0,11062200000.0,1127200000.0,-1357500000.0,2484700000.0,272400000.0,1880300000.0,332000000.0,5512500000.0,237200000.0,,1014500000.0,249000000.0,765500000.0,1546300000.0,1546300000.0,,,2714500000.0,2714500000.0,,
2025-07-31,862100000.0,862100000.0,3242800000.0,4776300000.0,-193700000.0,17888900000.0,2113600000.0,-193700000.0,309100000.0,13421700000.0,17389600000.0,13421700000.0,13421700000.0,600000.0,600000.0,-840000000.0,14259400000.0,1700000.0,1700000.0,,7164600000.0,4765300000.0,426300000.0,79500000.0,33300000.0,33300000.0,4226200000.0,258300000.0,3967900000.0,2399300000.0,41300000.0,41300000.0,550100000.0,50800000.0,499300000.0,499300000.0,210800000.0,13900000.0,1583200000.0,881300000.0,48600000.0,701900000.0,91200000.0,91200000.0,610700000.0,20586300000.0,16073400000.0,106700000.0,800300000.0,409900000.0,409900000.0,73000000.0,73000000.0,13615400000.0,2553200000.0,11062200000.0,1068100000.0,-1308900000.0,2377000000.0,273600000.0,1781500000.0,321900000.0,4512900000.0,189700000.0,595500000.0,1051600000.0,313000000.0,738600000.0,1451700000.0,1451700000.0,,,1224400000.0,1224400000.0,,
2025-04-30,862200000.0,862200000.0,3346700000.0,4512000000.0,-576700000.0,17545300000.0,896200000.0,-576700000.0,279400000.0,13312700000.0,16290100000.0,13312700000.0,13312700000.0,-100000.0,-100000.0,-983100000.0,14294200000.0,1700000.0,1700000.0,,6711000000.0,3769600000.0,452300000.0,76500000.0,34200000.0,34200000.0,3206600000.0,229200000.0,2977400000.0,2941400000.0,44000000.0,31800000.0,1305400000.0,50200000.0,1255200000.0,1255200000.0,183700000.0,19100000.0,1389200000.0,748500000.0,24900000.0,640700000.0,78000000.0,78000000.0,562700000.0,20023700000.0,16186100000.0,70900000.0,750300000.0,405900000.0,405900000.0,48600000.0,48600000.0,13889400000.0,2827200000.0,11062200000.0,1021000000.0,-1272500000.0,2293500000.0,246300000.0,1731500000.0,315700000.0,3837600000.0,148100000.0,588200000.0,1071400000.0,332400000.0,739000000.0,1144000000.0,1144000000.0,,,885900000.0,885900000.0,,
2025-01-31,866000000.0,866000000.0,3115500000.0,4343100000.0,-1271800000.0,17490800000.0,1093500000.0,-1271800000.0,279300000.0,13427000000.0,17361300000.0,13427000000.0,13427000000.0,400000.0,400000.0,-1109200000.0,14534100000.0,1700000.0,1700000.0,0.0,6777500000.0,4750700000.0,478200000.0,73400000.0,33800000.0,33800000.0,4165300000.0,231000000.0,3934300000.0,2026800000.0,39800000.0,22100000.0,177800000.0,48300000.0,129500000.0,129500000.0,302500000.0,11700000.0,1495000000.0,817200000.0,43500000.0,677800000.0,55600000.0,55600000.0,622200000.0,20204500000.0,17084200000.0,74800000.0,824700000.0,401200000.0,401200000.0,48200000.0,48200000.0,14698800000.0,3111900000.0,11586900000.0,1036500000.0,-1247000000.0,2283500000.0,246000000.0,1730900000.0,306600000.0,3120300000.0,113900000.0,,1029700000.0,320700000.0,709000000.0,1028400000.0,1028400000.0,-2600000.0,1031000000.0,948300000.0,948300000.0,57200000.0,891100000.0
2024-10-31,865200000.0,865200000.0,3226800000.0,4341300000.0,-1335700000.0,17467800000.0,1053200000.0,-1335700000.0,246400000.0,13372900000.0,17338400000.0,13372900000.0,13372900000.0,-300000.0,-300000.0,-1257500000.0,14629000000.0,1700000.0,1700000.0,,6342700000.0,4579100000.0,292100000.0,72000000.0,46300000.0,46300000.0,4168700000.0,203200000.0,3965500000.0,1763600000.0,34500000.0,34500000.0,172600000.0,43200000.0,129400000.0,129400000.0,270900000.0,1100000.0,1284500000.0,713000000.0,22700000.0,571500000.0,33400000.0,33400000.0,538100000.0,19715600000.0,16898800000.0,64800000.0,673900000.0,406500000.0,406500000.0,49400000.0,49400000.0,14708600000.0,3121700000.0,11586900000.0,995600000.0,-1195900000.0,2191500000.0,213700000.0,1675200000.0,302600000.0,2816800000.0,91400000.0,,859400000.0,215500000.0,643900000.0,997900000.0,997900000.0,,,868100000.0,868100000.0,,
