date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-12-31,26299000.0,26299000.0,3610000.0,921718000.0,1156182000.0,865274000.0,921718000.0,3610000.0,1156182000.0,1156182000.0,1156182000.0,1156182000.0,-224904000.0,1381083000.0,3000.0,3000.0,138517000.0,54512000.0,53380000.0,,1132000.0,1132000.0,84005000.0,35007000.0,2478000.0,2478000.0,3655000.0,42865000.0,21538000.0,21327000.0,,21327000.0,1294699000.0,345420000.0,1753000.0,234464000.0,147366000.0,87098000.0,109203000.0,-83063000.0,192266000.0,8303000.0,15885000.0,162998000.0,5080000.0,0.0,949279000.0,7514000.0,6761000.0,81557000.0,20500000.0,47485000.0,13572000.0,45040000.0,45040000.0,-50000.0,45090000.0,808407000.0,791648000.0,16759000.0
2025-09-30,26101000.0,26101000.0,4435000.0,864168000.0,1103403000.0,821321000.0,864168000.0,4435000.0,1103403000.0,1103403000.0,1103403000.0,1103403000.0,-234071000.0,1337471000.0,3000.0,3000.0,173597000.0,62918000.0,61143000.0,,1775000.0,1775000.0,110679000.0,29480000.0,2660000.0,2660000.0,4020000.0,74519000.0,17247000.0,57272000.0,38400000.0,18872000.0,1277000000.0,345000000.0,1667000.0,239235000.0,152137000.0,87098000.0,104098000.0,-77125000.0,181223000.0,8286000.0,10425000.0,157317000.0,5195000.0,0.0,932000000.0,8416000.0,4762000.0,86743000.0,25738000.0,39149000.0,21856000.0,22504000.0,22504000.0,-50000.0,22554000.0,809575000.0,782465000.0,27110000.0
2025-06-30,26004000.0,26004000.0,5245000.0,857639000.0,1100681000.0,811359000.0,857639000.0,5245000.0,1100681000.0,1100681000.0,1100681000.0,1100681000.0,-226057000.0,1326735000.0,3000.0,3000.0,168455000.0,60913000.0,58504000.0,,2409000.0,2409000.0,107542000.0,34817000.0,2836000.0,2836000.0,4867000.0,65022000.0,13559000.0,51463000.0,38400000.0,13063000.0,1269136000.0,350235000.0,1684000.0,243042000.0,155944000.0,87098000.0,105509000.0,-71082000.0,176591000.0,8283000.0,7667000.0,155476000.0,5165000.0,0.0,918901000.0,7276000.0,3967000.0,84126000.0,26038000.0,42882000.0,15206000.0,26866000.0,26866000.0,-50000.0,26916000.0,796666000.0,624144000.0,172522000.0
2025-03-31,23721534.0,23721534.0,5933000.0,445632000.0,692514000.0,412689000.0,445632000.0,5933000.0,692514000.0,692514000.0,692514000.0,692514000.0,-205878000.0,898390000.0,2000.0,2000.0,179591000.0,72936000.0,69920000.0,,3016000.0,3016000.0,106655000.0,23263000.0,2917000.0,2917000.0,3892000.0,76583000.0,13085000.0,63498000.0,38733000.0,24765000.0,872105000.0,352761000.0,1344000.0,246882000.0,159784000.0,87098000.0,104535000.0,-65054000.0,169589000.0,8143000.0,21414000.0,134955000.0,5077000.0,0.0,519344000.0,5468000.0,4210000.0,82632000.0,18409000.0,46470000.0,17753000.0,28114000.0,28114000.0,-50000.0,28164000.0,398920000.0,360079000.0,38841000.0
2024-12-31,23598000.0,23598000.0,6232000.0,449063000.0,699719000.0,435611000.0,449063000.0,6232000.0,699719000.0,699719000.0,699719000.0,699719000.0,-182001000.0,881718000.0,2000.0,2000.0,185240000.0,76791000.0,73303000.0,0.0,3488000.0,3488000.0,108449000.0,23953000.0,2744000.0,2744000.0,3673000.0,78079000.0,17425000.0,60654000.0,37760000.0,22894000.0,884959000.0,340899000.0,1199000.0,250656000.0,163558000.0,87098000.0,89044000.0,-59845000.0,148889000.0,7818000.0,9538000.0,126533000.0,5000000.0,0.0,544060000.0,5971000.0,4305000.0,76741000.0,14446000.0,47300000.0,14995000.0,38209000.0,38209000.0,-50000.0,38259000.0,418834000.0,412728000.0,6106000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,39245000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,,,,,21825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
