date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-12-31,51001000.0,51001000.0,137312000.0,1644674000.0,2103229000.0,1225158000.0,1644674000.0,137312000.0,2103229000.0,2103229000.0,2103229000.0,2103229000.0,-702000.0,-702000.0,178693000.0,1925238000.0,0.0,0.0,,353291000.0,169100000.0,5468000.0,46033000.0,117599000.0,117599000.0,184191000.0,26803000.0,19713000.0,19713000.0,137675000.0,68812000.0,68863000.0,68863000.0,2456520000.0,1047171000.0,19021000.0,0.0,38247000.0,38247000.0,259564000.0,259564000.0,259564000.0,458555000.0,22619000.0,435936000.0,271784000.0,,271784000.0,,,271784000.0,,,,,1409349000.0,31268000.0,87246000.0,189483000.0,50345000.0,139138000.0,278989000.0,278989000.0,0.0,278989000.0,822363000.0,44280000.0,778083000.0
2025-09-30,51018000.0,51018000.0,140466000.0,1582055000.0,2042442000.0,1156677000.0,1582055000.0,140466000.0,2042442000.0,2042442000.0,2042442000.0,2042442000.0,-221000.0,-221000.0,139025000.0,1903638000.0,0.0,0.0,,387241000.0,176918000.0,10576000.0,45357000.0,120985000.0,120985000.0,210323000.0,26803000.0,19481000.0,19481000.0,164039000.0,84065000.0,79974000.0,79974000.0,2429683000.0,1062683000.0,29170000.0,0.0,46511000.0,46511000.0,250146000.0,250146000.0,250146000.0,460387000.0,24451000.0,435936000.0,276469000.0,,276469000.0,,,276469000.0,,,,,1367000000.0,32581000.0,96713000.0,236409000.0,54102000.0,182307000.0,355397000.0,355397000.0,0.0,355397000.0,645900000.0,52424000.0,593476000.0
2025-06-30,51314000.0,51314000.0,141347000.0,1468630000.0,1930284000.0,1052444000.0,1468630000.0,141347000.0,1930284000.0,1930284000.0,1930284000.0,1930284000.0,-223000.0,-223000.0,49035000.0,1881472000.0,0.0,0.0,,364433000.0,175755000.0,10790000.0,44693000.0,120272000.0,120272000.0,188678000.0,21511000.0,21075000.0,21075000.0,146092000.0,79771000.0,66321000.0,66321000.0,2294717000.0,1053595000.0,26887000.0,0.0,54037000.0,54037000.0,232959000.0,232959000.0,232959000.0,461654000.0,25718000.0,435936000.0,278058000.0,,278058000.0,,,278058000.0,,,,,1241122000.0,27081000.0,106177000.0,278984000.0,88994000.0,189990000.0,214085000.0,214085000.0,0.0,214085000.0,614795000.0,65925000.0,548870000.0
2025-03-31,52291000.0,52291000.0,143719000.0,1486052000.0,1949449000.0,1044546000.0,1486052000.0,143719000.0,1949449000.0,1949449000.0,1949449000.0,1949449000.0,-1183000.0,-1183000.0,90351000.0,1860229000.0,52000.0,52000.0,0.0,377624000.0,182436000.0,16488000.0,44040000.0,121908000.0,121908000.0,195188000.0,26745000.0,21811000.0,21811000.0,146632000.0,83470000.0,63162000.0,63162000.0,2327073000.0,1087339000.0,34656000.0,15512000.0,48150000.0,48150000.0,239036000.0,239036000.0,239036000.0,463397000.0,27461000.0,435936000.0,286588000.0,-269669000.0,556257000.0,80683000.0,734000.0,126688000.0,260151000.0,64148000.0,23853000.0,0.0,1239734000.0,28057000.0,100796000.0,299092000.0,82919000.0,216173000.0,216009000.0,216009000.0,0.0,216009000.0,595780000.0,56160000.0,539620000.0
2024-12-31,53138000.0,53138000.0,146480000.0,1502905000.0,1962798000.0,1039537000.0,1502905000.0,146480000.0,1962798000.0,1962798000.0,1962798000.0,1962798000.0,-2094000.0,-2094000.0,124101000.0,1840738000.0,53000.0,53000.0,,400442000.0,189529000.0,21506000.0,43401000.0,124622000.0,124622000.0,210913000.0,26985000.0,21858000.0,21858000.0,162070000.0,84163000.0,77907000.0,77907000.0,2363240000.0,1112790000.0,42954000.0,23020000.0,40895000.0,40895000.0,252594000.0,252594000.0,252594000.0,459893000.0,23957000.0,435936000.0,293434000.0,,293434000.0,,,293434000.0,,,,,1250450000.0,31534000.0,117436000.0,275558000.0,96296000.0,179262000.0,261943000.0,261943000.0,0.0,261943000.0,563979000.0,37535000.0,526444000.0
