date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Dueto Related Parties Current,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-09-30,64876451.0,64876451.0,297044000.0,1429974000.0,1719722000.0,1680293000.0,1429974000.0,10002000.0,1432680000.0,1626036000.0,1885214000.0,452534000.0,1432680000.0,-18485000.0,-18485000.0,346029000.0,1105129000.0,7000.0,7000.0,885429000.0,207560000.0,8322000.0,,,199238000.0,5882000.0,193356000.0,677869000.0,219056000.0,219056000.0,97806000.0,4120000.0,93686000.0,48637000.0,45049000.0,361007000.0,118135000.0,242872000.0,26552000.0,23323000.0,,12113000.0,12113000.0,180884000.0,2770643000.0,412481000.0,2874000.0,0.0,26641000.0,26641000.0,63556000.0,0.0,,63556000.0,2706000.0,2706000.0,316704000.0,-33224000.0,349928000.0,12425000.0,45313000.0,58892000.0,7945000.0,223254000.0,2099000.0,0.0,2358162000.0,15143000.0,8430000.0,927000.0,676409000.0,290729000.0,59498000.0,326182000.0,527446000.0,50450000.0,476996000.0,-27828000.0,504824000.0,1129807000.0,70898000.0,1058909000.0
2025-06-30,64118782.0,64118782.0,287373000.0,983601000.0,1264549000.0,974641000.0,983601000.0,9274000.0,986450000.0,1149441000.0,1191689000.0,205239000.0,986450000.0,-28267000.0,-28267000.0,310140000.0,704570000.0,7000.0,7000.0,848026000.0,177014000.0,8527000.0,,,168487000.0,5496000.0,162991000.0,671012000.0,235106000.0,235106000.0,118886000.0,3778000.0,115108000.0,62139000.0,52969000.0,317020000.0,102432000.0,214588000.0,26123000.0,19827000.0,7578000.0,12280000.0,12280000.0,148780000.0,2039715000.0,394062000.0,2319000.0,0.0,22341000.0,22341000.0,56723000.0,0.0,,56723000.0,2849000.0,2849000.0,309830000.0,-30786000.0,340616000.0,12171000.0,38677000.0,58606000.0,7356000.0,221707000.0,2099000.0,0.0,1645653000.0,,10798000.0,14985000.0,648278000.0,302023000.0,60687000.0,285568000.0,477370000.0,43708000.0,433662000.0,-19782000.0,453444000.0,494222000.0,52134000.0,442088000.0
2025-03-31,63854736.0,63854736.0,237139000.0,946149000.0,1176572000.0,918996000.0,946149000.0,9713000.0,949146000.0,1083686000.0,1155353000.0,206207000.0,949146000.0,-31432000.0,-31432000.0,280380000.0,700191000.0,7000.0,7000.0,778415000.0,149537000.0,1093000.0,7755000.0,7755000.0,140689000.0,6149000.0,134540000.0,628878000.0,252237000.0,252237000.0,96450000.0,3564000.0,92886000.0,67935000.0,24951000.0,280191000.0,94435000.0,185756000.0,31869000.0,19285000.0,,18161000.0,18161000.0,116441000.0,1933768000.0,385894000.0,2209000.0,0.0,16457000.0,16457000.0,68207000.0,13393000.0,13393000.0,54814000.0,2997000.0,2997000.0,296024000.0,-27402000.0,323426000.0,11844000.0,108682000.0,54764000.0,6533000.0,139504000.0,2099000.0,0.0,1547874000.0,,10586000.0,12061000.0,609567000.0,298782000.0,70885000.0,239900000.0,422899000.0,35050000.0,387849000.0,-18338000.0,406187000.0,492761000.0,35521000.0,457240000.0
2024-12-31,62960696.0,62960696.0,188783000.0,901164000.0,1087436000.0,842146000.0,901164000.0,5972000.0,904625000.0,1010150000.0,1095906000.0,191281000.0,904625000.0,-32858000.0,-32858000.0,260000000.0,677476000.0,7000.0,7000.0,759815000.0,118582000.0,1168000.0,8049000.0,8049000.0,109365000.0,3840000.0,105525000.0,641233000.0,252486000.0,252486000.0,79418000.0,2132000.0,77286000.0,44472000.0,32814000.0,309329000.0,93488000.0,215841000.0,35660000.0,16133000.0,,24754000.0,24754000.0,139294000.0,1855721000.0,372342000.0,2047000.0,686000.0,14781000.0,14781000.0,50338000.0,13275000.0,13275000.0,37063000.0,3461000.0,3461000.0,301029000.0,-24882000.0,325911000.0,11579000.0,115635000.0,51076000.0,6211000.0,141410000.0,,0.0,1483379000.0,,3865000.0,8531000.0,597984000.0,293131000.0,80767000.0,224086000.0,428904000.0,41859000.0,387045000.0,-18347000.0,405392000.0,444095000.0,36650000.0,407445000.0
2024-09-30,62546330.0,62546330.0,176214000.0,877008000.0,1058700000.0,835279000.0,877008000.0,5680000.0,888166000.0,994235000.0,1069083000.0,180917000.0,888166000.0,-10755000.0,-10755000.0,229374000.0,669540000.0,7000.0,7000.0,725092000.0,115057000.0,1410000.0,4275000.0,4275000.0,109372000.0,3303000.0,106069000.0,610035000.0,225816000.0,225816000.0,66842000.0,2377000.0,64465000.0,30670000.0,33795000.0,317377000.0,90443000.0,226934000.0,33936000.0,15392000.0,,6796000.0,6796000.0,170810000.0,1794175000.0,348861000.0,1997000.0,703000.0,13400000.0,13400000.0,47172000.0,13517000.0,13517000.0,33655000.0,11158000.0,11158000.0,274431000.0,-23631000.0,298062000.0,8404000.0,168877000.0,24928000.0,6305000.0,89548000.0,,0.0,1445314000.0,,1782000.0,12247000.0,628720000.0,298925000.0,79469000.0,250326000.0,428438000.0,57849000.0,370589000.0,-9860000.0,380449000.0,374127000.0,40655000.0,333472000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,4202000.0,4202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14656000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
