date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2025-09-30,136752000.0,136752000.0,20382000.0,386313000.0,706400000.0,236447000.0,386313000.0,20382000.0,706400000.0,706400000.0,706400000.0,706400000.0,-3473000.0,-3473000.0,219827000.0,488678000.0,1368000.0,1368000.0,0.0,137956000.0,32178000.0,6191000.0,11410000.0,11410000.0,14577000.0,14577000.0,105778000.0,18157000.0,18157000.0,5805000.0,5805000.0,81816000.0,34102000.0,47714000.0,,47714000.0,844356000.0,502131000.0,21962000.0,68985000.0,68985000.0,320087000.0,4729000.0,315358000.0,91097000.0,-132230000.0,223327000.0,,223327000.0,,,342225000.0,38107000.0,90716000.0,16324000.0,74392000.0,95492000.0,95492000.0,0.0,95492000.0,117910000.0,117910000.0
2025-06-30,136664000.0,136664000.0,21898000.0,366616000.0,687048000.0,235544000.0,366616000.0,21898000.0,687048000.0,687048000.0,687048000.0,687048000.0,-2958000.0,-2958000.0,217033000.0,471606000.0,1367000.0,1367000.0,0.0,121504000.0,34622000.0,6986000.0,11661000.0,11661000.0,15975000.0,15975000.0,86882000.0,19223000.0,19223000.0,5923000.0,5923000.0,61736000.0,27931000.0,33805000.0,,33805000.0,808552000.0,486126000.0,16336000.0,66060000.0,66060000.0,320432000.0,5074000.0,315358000.0,83298000.0,-131529000.0,214827000.0,,214827000.0,,,322426000.0,35779000.0,93832000.0,16994000.0,76838000.0,85659000.0,85659000.0,0.0,85659000.0,107156000.0,107156000.0
2025-03-31,137504000.0,137504000.0,21794000.0,387446000.0,707911000.0,259871000.0,387446000.0,21794000.0,707911000.0,707911000.0,707911000.0,707911000.0,-3479000.0,-3479000.0,214120000.0,495895000.0,1375000.0,1375000.0,0.0,115739000.0,37280000.0,7274000.0,13778000.0,13778000.0,16228000.0,16228000.0,78459000.0,16685000.0,16685000.0,5566000.0,5566000.0,56208000.0,23874000.0,32334000.0,,32334000.0,823650000.0,485320000.0,22145000.0,66282000.0,66282000.0,320465000.0,5107000.0,315358000.0,76428000.0,-128163000.0,204591000.0,,204591000.0,,,338330000.0,31331000.0,94890000.0,19546000.0,75344000.0,84545000.0,84545000.0,0.0,84545000.0,127564000.0,127564000.0
2024-12-31,137704000.0,137704000.0,15251000.0,390987000.0,710932000.0,265212000.0,390987000.0,15251000.0,710932000.0,710932000.0,710932000.0,710932000.0,-3842000.0,-3842000.0,209098000.0,504299000.0,1377000.0,1377000.0,0.0,132971000.0,33349000.0,7894000.0,16022000.0,16022000.0,9433000.0,9433000.0,99622000.0,24716000.0,24716000.0,5818000.0,5818000.0,69088000.0,28885000.0,40203000.0,3375000.0,36828000.0,843903000.0,479069000.0,25286000.0,66980000.0,66980000.0,319945000.0,4587000.0,315358000.0,66858000.0,-125901000.0,192759000.0,15387000.0,13870000.0,163502000.0,0.0,364834000.0,44073000.0,103410000.0,21137000.0,82273000.0,81060000.0,81060000.0,0.0,81060000.0,136291000.0,136291000.0
2024-09-30,137935000.0,137935000.0,17750000.0,368479000.0,703540000.0,274064000.0,368479000.0,17750000.0,703540000.0,703540000.0,703540000.0,703540000.0,-2918000.0,-2918000.0,192584000.0,512495000.0,1379000.0,1379000.0,0.0,150121000.0,58073000.0,29822000.0,17538000.0,17538000.0,10713000.0,10713000.0,92048000.0,19057000.0,19057000.0,7037000.0,7037000.0,65954000.0,31160000.0,34794000.0,2663000.0,32131000.0,853661000.0,487549000.0,27989000.0,56200000.0,56200000.0,335061000.0,19703000.0,315358000.0,68299000.0,-123483000.0,191782000.0,,191782000.0,,,366112000.0,45847000.0,104517000.0,28878000.0,75639000.0,91465000.0,91465000.0,0.0,91465000.0,124283000.0,124283000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
