date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Restricted Cash,Inventory,Inventories Adjustments Allowances,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2025-09-30,201993403.0,201993403.0,192661000.0,370453000.0,-125536000.0,722744000.0,217930000.0,-125536000.0,16919000.0,369210000.0,708356000.0,392914000.0,23704000.0,369210000.0,-10322000.0,-10322000.0,-605917000.0,985427000.0,22000.0,22000.0,0.0,462151000.0,382992000.0,6729000.0,23421000.0,7463000.0,15958000.0,352842000.0,13696000.0,339146000.0,79159000.0,11840000.0,9766000.0,7796000.0,17611000.0,3223000.0,14388000.0,14388000.0,39942000.0,17797000.0,4722000.0,22145000.0,2998000.0,19147000.0,855065000.0,557976000.0,6012000.0,494746000.0,203932000.0,290814000.0,57218000.0,-27293000.0,84511000.0,2225000.0,14472000.0,55322000.0,12492000.0,0.0,297089000.0,27059000.0,10289000.0,45622000.0,,16392000.0,21308000.0,7922000.0,53246000.0,53246000.0,-546000.0,53792000.0,160873000.0,160873000.0
2025-06-30,196642842.0,196642842.0,159893000.0,369040000.0,-84373000.0,742860000.0,255279000.0,-84373000.0,16587000.0,390407000.0,728633000.0,415096000.0,24689000.0,390407000.0,-5873000.0,-5873000.0,-567628000.0,963886000.0,22000.0,22000.0,0.0,452534000.0,376053000.0,2415000.0,22121000.0,9221000.0,12900000.0,351517000.0,13291000.0,338226000.0,76481000.0,8554000.0,9023000.0,8223000.0,17523000.0,3296000.0,14227000.0,14227000.0,41381000.0,18831000.0,1269000.0,22550000.0,2883000.0,19667000.0,867630000.0,535870000.0,5872000.0,474780000.0,198540000.0,276240000.0,55218000.0,-25807000.0,81025000.0,2212000.0,13692000.0,53130000.0,11991000.0,0.0,331760000.0,22745000.0,10293000.0,47028000.0,,12955000.0,22856000.0,11217000.0,59134000.0,59134000.0,-1940000.0,61074000.0,192560000.0,192560000.0
2025-03-31,196110513.0,196110513.0,142418000.0,395804000.0,-65160000.0,784594000.0,309677000.0,-65160000.0,16778000.0,405568000.0,772605000.0,431733000.0,26165000.0,405568000.0,-22751000.0,-22751000.0,-528590000.0,956888000.0,21000.0,21000.0,0.0,477289000.0,405253000.0,2318000.0,22343000.0,10593000.0,11750000.0,380592000.0,13555000.0,367037000.0,72036000.0,13791000.0,9427000.0,8627000.0,15212000.0,3223000.0,11989000.0,11989000.0,33606000.0,12555000.0,5325000.0,21051000.0,2577000.0,18474000.0,909022000.0,527309000.0,6403000.0,470728000.0,203138000.0,267590000.0,50178000.0,-23269000.0,73447000.0,1939000.0,8873000.0,51830000.0,10805000.0,0.0,381713000.0,24106000.0,10297000.0,47822000.0,,14580000.0,21277000.0,11965000.0,62880000.0,62880000.0,-2006000.0,64886000.0,236608000.0,236608000.0
2024-12-31,189163408.0,189163408.0,107069000.0,398579000.0,-57426000.0,799203000.0,323868000.0,-57426000.0,17262000.0,417886000.0,786983000.0,445395000.0,27509000.0,417886000.0,-24655000.0,-24655000.0,-494044000.0,936564000.0,21000.0,21000.0,0.0,495991000.0,411111000.0,4111000.0,23625000.0,11965000.0,11660000.0,383375000.0,14278000.0,369097000.0,84880000.0,14667000.0,15660000.0,8610000.0,15204000.0,2984000.0,12220000.0,12220000.0,39349000.0,7910000.0,1679000.0,31439000.0,3113000.0,28326000.0,941386000.0,532638000.0,6938000.0,475312000.0,208944000.0,266368000.0,50388000.0,-21139000.0,71527000.0,1921000.0,7597000.0,51847000.0,10162000.0,0.0,408748000.0,22308000.0,10300000.0,49887000.0,-4575000.0,18737000.0,21229000.0,14496000.0,52005000.0,52005000.0,-1970000.0,53975000.0,274248000.0,274248000.0
2024-09-30,181427420.0,181427420.0,79721000.0,194960000.0,-39512000.0,635182000.0,139936000.0,-39512000.0,18342000.0,458564000.0,616101000.0,488803000.0,30239000.0,458564000.0,-8546000.0,-8546000.0,-461462000.0,928552000.0,20000.0,20000.0,0.0,308658000.0,207777000.0,3959000.0,30740000.0,13688000.0,17052000.0,173078000.0,15541000.0,157537000.0,100881000.0,23806000.0,15995000.0,8945000.0,21882000.0,2801000.0,19081000.0,19081000.0,39198000.0,13177000.0,2943000.0,26021000.0,,26021000.0,797461000.0,556644000.0,6989000.0,498076000.0,222659000.0,275417000.0,51579000.0,-20027000.0,71606000.0,1962000.0,8757000.0,50726000.0,10161000.0,0.0,240817000.0,25300000.0,10300000.0,52157000.0,-4073000.0,12768000.0,26019000.0,17443000.0,56163000.0,56163000.0,-510000.0,56673000.0,96897000.0,96897000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2189000.0,,,,,,,,,
