date,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-09-30,8766948000.0,-14154227000.0,34801286000.0,-12170616000.0,104217382000.0,111993768000.0,2598328000.0,-10374714000.0,-15160397000.0,-15160397000.0,-19444000.0,,20647059000.0,9498086000.0,-1744000000.0,11242086000.0,11148973000.0,-12410227000.0,23559200000.0,-16151881000.0,-16151881000.0,-66873000.0,-3966852000.0,2179168000.0,-6146020000.0,0.0,0.0,0.0,-947543000.0,-947543000.0,-11170613000.0,52460000.0,-11223073000.0,20937564000.0,20937564000.0,-3340529000.0,531862000.0,-347605000.0,1459382000.0,-4083837000.0,197904000.0,453383000.0,27214000.0,-3911535000.0,-3911535000.0,-648735000.0,-101369000.0,-683162000.0,-66272000.0,576989000.0,-457747000.0,204004000.0,,-2000.0,14994828000.0,14994828000.0,687514000.0,687514000.0,14307314000.0,-2666699000.0,-1250411000.0,-1924405000.0,588713000.0,-63401000.0,-17195000.0,14643907000.0
2025-06-30,13510152000.0,-5959754000.0,7194000000.0,-8587879000.0,111993768000.0,106353757000.0,-8168990000.0,13809001000.0,1148774000.0,1148774000.0,-85472000.0,,1234246000.0,24000000.0,-470000000.0,494000000.0,1210246000.0,-5489754000.0,6700000000.0,-9437804000.0,-9437804000.0,25557000.0,-1468844000.0,1096206000.0,-2565050000.0,574997000.0,,0.0,-1044907000.0,-1044907000.0,-7524607000.0,18365000.0,-7542972000.0,22098031000.0,22098031000.0,-2134632000.0,602454000.0,-291355000.0,160020000.0,2225125000.0,70914000.0,-405379000.0,-5612000.0,1788923000.0,1788923000.0,-307619000.0,-222493000.0,-162988000.0,1161760000.0,971996000.0,-689649000.0,217387000.0,,2000.0,14506000000.0,14506000000.0,705387000.0,705387000.0,13800613000.0,-2651299000.0,-446250000.0,118706000.0,-2321047000.0,-4702000.0,,10153978000.0
2025-03-31,9344044000.0,-20489113000.0,7260000000.0,-14481661000.0,106353757000.0,105000226000.0,1809572000.0,-456041000.0,-13776089000.0,-13776089000.0,-546976000.0,,-13229113000.0,-2015000000.0,-7975000000.0,5960000000.0,-11214113000.0,-12514113000.0,1300000000.0,-10505657000.0,-10505657000.0,3719824000.0,224513000.0,2466075000.0,-2241562000.0,0.0,,0.0,-328987000.0,-328987000.0,-14121007000.0,31667000.0,-14152674000.0,23825705000.0,23825705000.0,-584665000.0,631109000.0,-167503000.0,130289000.0,-237132000.0,-257184000.0,357196000.0,-240000.0,-886020000.0,-886020000.0,1538635000.0,471595000.0,705658000.0,-628137000.0,-1049440000.0,-564546000.0,209832000.0,,-2406000.0,14128142000.0,14128142000.0,701281000.0,701281000.0,13426861000.0,936014000.0,207896000.0,561333000.0,186414000.0,-19629000.0,,9346571000.0
2024-12-31,13824909000.0,-28041282000.0,13941100000.0,-19152265000.0,105000226000.0,103407426000.0,-111228000.0,1704028000.0,-14305401000.0,-14305401000.0,-204790000.0,-429000.0,-14100182000.0,-8553900000.0,-11618900000.0,3065000000.0,-5546282000.0,-16422382000.0,10876100000.0,-16967745000.0,-16967745000.0,1381127000.0,442380000.0,749861000.0,-307481000.0,359489000.0,360000000.0,-511000.0,-877064000.0,-877064000.0,-18273677000.0,1524000.0,-18275201000.0,32977174000.0,32977174000.0,-137422000.0,858609000.0,-453237000.0,141269000.0,5742415000.0,-831093000.0,750358000.0,1074432000.0,1307809000.0,1307809000.0,-1356034000.0,,2305435000.0,698397000.0,,-488876000.0,-36161000.0,-386000.0,,13462721000.0,13462721000.0,792641000.0,792641000.0,12670080000.0,2548821000.0,972266000.0,814214000.0,774439000.0,-14191000.0,2093000.0,11339421000.0
2024-09-30,-4880426000.0,-6493415000.0,31359800000.0,-22227666000.0,103407426000.0,121664395000.0,1072978000.0,-19329947000.0,-12749956000.0,-12749956000.0,-31164000.0,,24866385000.0,13950000000.0,-3600000000.0,17550000000.0,10916385000.0,-2893415000.0,13809800000.0,-23927231000.0,-23927231000.0,-194455000.0,-2265956000.0,390760000.0,-2656716000.0,703375000.0,898873000.0,-195498000.0,-498855000.0,-498855000.0,-21671340000.0,57471000.0,-21728811000.0,17347240000.0,17347240000.0,-3754994000.0,1137458000.0,-342538000.0,1661250000.0,-7018439000.0,-202869000.0,833377000.0,-866032000.0,-4110233000.0,-4110233000.0,738178000.0,404219000.0,-1512756000.0,-1564145000.0,,-503096000.0,244351000.0,,,12702219000.0,12702219000.0,643084000.0,643084000.0,12059135000.0,-3343280000.0,-842760000.0,-1947665000.0,-531684000.0,-20819000.0,-352000.0,16564188000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,343001000.0,,,,,,,,,,,,,,,,,,,,-758053000.0,,,-1855960000.0,,,,-23724000.0,,,,,,,,,,,,
