date,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-10-31,42008000.0,-427162000.0,,-5454000.0,-4041000.0,11140000.0,164670000.0,168560000.0,-212000.0,-3678000.0,-47086000.0,-47086000.0,194299000.0,-216723000.0,-24662000.0,,,-24662000.0,-427162000.0,,-4054000.0,-4054000.0,0.0,1400000.0,1400000.0,0.0,-2635000.0,-2635000.0,-2819000.0,0.0,-2819000.0,47462000.0,47462000.0,-5889000.0,199000.0,-2778000.0,10456000.0,6040000.0,4416000.0,4416000.0,-2449000.0,-11317000.0,-11317000.0,23180000.0,17138000.0,1872000.0,2935000.0,2935000.0,11521000.0,11521000.0,11521000.0,-433000.0,-16000.0,-416000.0,-1000.0,-2862000.0
2025-07-31,39261000.0,-25000000.0,,-5134000.0,6509000.0,2661000.0,168560000.0,156474000.0,479000.0,11607000.0,-27657000.0,-27657000.0,-3125000.0,468000.0,-25000000.0,,,-25000000.0,-25000000.0,,-5131000.0,-5131000.0,0.0,0.0,0.0,,-2250000.0,-2250000.0,-2881000.0,,-2884000.0,44395000.0,44395000.0,-3640000.0,-3337000.0,-5051000.0,5424000.0,4004000.0,1420000.0,1420000.0,-13001000.0,12325000.0,12325000.0,2005000.0,17297000.0,42355000.0,2437000.0,2437000.0,11670000.0,11670000.0,11670000.0,-665000.0,62000.0,-743000.0,16000.0,-27064000.0
2025-04-30,25645000.0,-10000000.0,,-2179000.0,3526000.0,1335000.0,156474000.0,151743000.0,1339000.0,3392000.0,-19361000.0,-19361000.0,-9393000.0,32000.0,-10000000.0,,,-10000000.0,-10000000.0,,-5071000.0,-5071000.0,-3428000.0,536000.0,536000.0,,-529000.0,-529000.0,-1650000.0,,-1650000.0,27824000.0,27824000.0,-13358000.0,-266000.0,2281000.0,-5639000.0,-15444000.0,9805000.0,9805000.0,-6627000.0,-3107000.0,-3107000.0,1909000.0,6835000.0,152000.0,2411000.0,2411000.0,11536000.0,11536000.0,11536000.0,-1006000.0,-1046000.0,14000.0,26000.0,19345000.0
2025-01-31,30470000.0,-719663000.0,68250000.0,-3026000.0,11891000.0,1098000.0,151743000.0,136504000.0,-852000.0,16091000.0,-9603000.0,-9603000.0,-1952000.0,3087000.0,-651413000.0,,,-651413000.0,-719663000.0,68250000.0,-7802000.0,-7802000.0,-4800000.0,0.0,0.0,0.0,-393000.0,-393000.0,-2609000.0,24000.0,-2633000.0,33496000.0,33496000.0,-28329000.0,-10404000.0,2540000.0,-39000.0,4190000.0,-4229000.0,-4229000.0,-220000.0,-20206000.0,-20206000.0,2149000.0,17259000.0,15239000.0,-20728000.0,-20728000.0,11618000.0,11618000.0,11618000.0,-2856000.0,585000.0,-3579000.0,138000.0,39144000.0
2024-10-31,28162000.0,-5000000.0,0.0,-1413000.0,-35471000.0,56754000.0,136504000.0,115928000.0,-79000.0,20655000.0,-7507000.0,-7507000.0,-3112000.0,605000.0,-5000000.0,-5000000.0,0.0,-5000000.0,-5000000.0,0.0,-1413000.0,-1413000.0,0.0,0.0,0.0,0.0,-930000.0,-930000.0,-483000.0,0.0,-483000.0,29575000.0,29575000.0,4120000.0,-1590000.0,-3108000.0,5674000.0,17847000.0,-12173000.0,-12173000.0,-7415000.0,10559000.0,10559000.0,3108000.0,18405000.0,0.0,-10000.0,-10000.0,11493000.0,11493000.0,11493000.0,45000.0,12000.0,0.0,33000.0,-7586000.0
2024-07-31,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,-434000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
