date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Provisionand Write Offof Assets,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-09-30,-15636000.0,0.0,-37098000.0,44543000.0,-11011000.0,1851000.0,6552000.0,1067339000.0,452886000.0,3425000.0,611028000.0,627142000.0,627142000.0,0.0,4311000.0,,,622964000.0,0.0,7445000.0,-8096000.0,-22473000.0,14377000.0,15541000.0,-14625000.0,30166000.0,-11489000.0,-11489000.0,,-478000.0,10000000.0,-10478000.0,690000.0,4000.0,-11701000.0,-11015000.0,-4625000.0,-4625000.0,-49702000.0,-17008000.0,-1474000.0,50529000.0,50529000.0,33107000.0,-349000.0,-349000.0,-1083000.0,-27743000.0,-52034000.0,-46841000.0,1263000.0,7562000.0,-18656000.0,12274000.0,-4262000.0,-4262000.0,4104000.0,4104000.0,-3606000.0,-3670000.0,,,46398000.0
2025-06-30,-60042000.0,,-15005000.0,64801000.0,-15141000.0,1757000.0,12598000.0,452886000.0,467826000.0,651000.0,-15591000.0,43765000.0,43765000.0,104000.0,853000.0,,,,,49796000.0,27803000.0,-214000.0,28017000.0,21993000.0,-14791000.0,36784000.0,-14455000.0,-14455000.0,,0.0,17000000.0,-17000000.0,-409000.0,-409000.0,-14046000.0,-14732000.0,-44901000.0,-44901000.0,-87575000.0,-18673000.0,-1295000.0,25498000.0,25498000.0,31657000.0,-5955000.0,-5955000.0,-2595000.0,-37838000.0,-52672000.0,-44698000.0,1042000.0,9770000.0,-2730000.0,2546000.0,-5790000.0,-5790000.0,3339000.0,3339000.0,-1773000.0,-1773000.0,,,36270000.0
2025-03-31,-11819000.0,,-25416000.0,69757000.0,-17101000.0,1558000.0,10801000.0,467826000.0,411310000.0,866000.0,55650000.0,67208000.0,67208000.0,138000.0,22729000.0,,,,,44341000.0,-7905000.0,-24961000.0,17056000.0,52246000.0,-455000.0,52701000.0,-16840000.0,-16840000.0,0.0,261000.0,10261000.0,-10000000.0,-375000.0,-375000.0,-16726000.0,-16726000.0,5282000.0,5282000.0,-37673000.0,-561000.0,-1422000.0,-24402000.0,-24402000.0,-20220000.0,-6630000.0,-6630000.0,-3496000.0,-15108000.0,7316000.0,190000.0,2125000.0,9817000.0,1082000.0,4514000.0,-1661000.0,-1661000.0,3017000.0,3017000.0,-952000.0,-952000.0,,,25013000.0
2024-12-31,75678000.0,,-4837000.0,15684000.0,-12917000.0,1228000.0,1417000.0,411310000.0,335254000.0,-7464000.0,83520000.0,15456000.0,15456000.0,,4609000.0,0.0,0.0,,,10847000.0,-1078000.0,-1559000.0,481000.0,11925000.0,-3278000.0,15203000.0,-20531000.0,-20531000.0,,-9017000.0,15801000.0,-24818000.0,-1501000.0,-1501000.0,-11416000.0,-11416000.0,88595000.0,88595000.0,34978000.0,32671000.0,2866000.0,-186000.0,-186000.0,-24881000.0,6059000.0,6059000.0,2730000.0,18066000.0,-21169000.0,-33886000.0,967000.0,8784000.0,-2023000.0,6659000.0,-1683000.0,-1683000.0,2894000.0,2894000.0,-1087000.0,,-546000.0,-118000.0,39106000.0
2024-09-30,-21454000.0,,-32643000.0,58264000.0,-33367000.0,1208000.0,690000.0,335254000.0,324912000.0,2972000.0,7370000.0,18774000.0,18774000.0,,53000.0,,,,,25621000.0,-20693000.0,-29541000.0,8848000.0,46314000.0,-3102000.0,49416000.0,-23317000.0,-23317000.0,,10050000.0,20770000.0,-10720000.0,-832000.0,-832000.0,-32535000.0,-32535000.0,11913000.0,11913000.0,-53548000.0,11304000.0,-664000.0,22767000.0,22767000.0,22042000.0,-4390000.0,-4390000.0,9749000.0,-17312000.0,-79392000.0,-74549000.0,1908000.0,11881000.0,-413000.0,4691000.0,7689000.0,7689000.0,2389000.0,2389000.0,-1356000.0,,-40000.0,1064000.0,38672000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695000.0,600000.0,,
