date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-09-30,19486000.0,-1658000.0,-277000.0,4543000.0,-7505000.0,89000.0,2171000.0,101111000.0,70905000.0,-1121000.0,31327000.0,-2382000.0,-2382000.0,-4990000.0,,2885000.0,-1658000.0,4543000.0,-277000.0,-277000.0,-277000.0,6718000.0,6718000.0,,14223000.0,35778000.0,-21555000.0,0.0,0.0,0.0,-7505000.0,-7505000.0,26991000.0,26991000.0,-18780000.0,5055000.0,-3912000.0,-529000.0,-537000.0,3413000.0,-3950000.0,-3950000.0,1190000.0,-1545000.0,-18502000.0,-18502000.0,-2949000.0,9516000.0,3227000.0,,6490000.0,6490000.0,9771000.0,9771000.0,,,11110000.0,-1168000.0,-1168000.0,0.0,15656000.0
2025-06-30,-47363000.0,,-276000.0,0.0,-66256000.0,95000.0,3617000.0,70905000.0,133301000.0,1478000.0,-63874000.0,-4214000.0,-4214000.0,-1487000.0,,-24586000.0,,0.0,-276000.0,-276000.0,-276000.0,-78553000.0,-78553000.0,,-12400000.0,35093000.0,-47493000.0,103000.0,103000.0,0.0,-66256000.0,-66256000.0,18893000.0,18893000.0,-15809000.0,1753000.0,-227000.0,-9000.0,2631000.0,3517000.0,-886000.0,-886000.0,-1923000.0,-2171000.0,-15863000.0,-15863000.0,3219000.0,9391000.0,3816000.0,,-1948000.0,-1948000.0,9560000.0,9560000.0,665000.0,665000.0,8895000.0,,,-103000.0,9086000.0
2025-03-31,4955000.0,,-273000.0,21576000.0,-18584000.0,92000.0,1826000.0,133301000.0,197206000.0,180000.0,-64085000.0,-2964000.0,-2964000.0,-2132000.0,-22135000.0,21576000.0,,21576000.0,-273000.0,-273000.0,-273000.0,-84660000.0,-84660000.0,,1080000.0,27410000.0,-26330000.0,-67156000.0,0.0,-67156000.0,-18584000.0,-18584000.0,23539000.0,23539000.0,-6557000.0,-620000.0,-1318000.0,469000.0,2609000.0,-7926000.0,10535000.0,10535000.0,-3794000.0,-10196000.0,6293000.0,6293000.0,1078000.0,9796000.0,2879000.0,1803000.0,-691000.0,-691000.0,8830000.0,8830000.0,674000.0,674000.0,8156000.0,,,0.0,6401000.0
2024-12-31,28250000.0,,-272000.0,0.0,-7663000.0,93000.0,2470000.0,197206000.0,190489000.0,-3512000.0,10229000.0,-18356000.0,-18356000.0,-1993000.0,,37211000.0,,0.0,-272000.0,-272000.0,-272000.0,-7328000.0,-7328000.0,0.0,335000.0,29699000.0,-29364000.0,0.0,0.0,,-7663000.0,-7663000.0,35913000.0,35913000.0,1681000.0,-5184000.0,-1472000.0,-10000.0,-3148000.0,-3693000.0,545000.0,545000.0,802000.0,-686000.0,11379000.0,11379000.0,2606000.0,10213000.0,2290000.0,1674000.0,689000.0,689000.0,8786000.0,8786000.0,662000.0,662000.0,8124000.0,1509000.0,,0.0,9705000.0
2024-09-30,17792000.0,-16940000.0,-269000.0,4800000.0,-8939000.0,97000.0,6190000.0,190489000.0,203951000.0,2829000.0,-16291000.0,-26830000.0,-26830000.0,-14421000.0,,-12140000.0,-16940000.0,4800000.0,-269000.0,-269000.0,-269000.0,-16192000.0,-16192000.0,,-5753000.0,25450000.0,-31203000.0,0.0,0.0,,-8939000.0,-8939000.0,26731000.0,26731000.0,-8539000.0,2943000.0,131000.0,281000.0,-13973000.0,-2876000.0,-11097000.0,-11097000.0,-2350000.0,6896000.0,-2467000.0,-2467000.0,-5717000.0,8936000.0,3775000.0,,-3863000.0,-3863000.0,8274000.0,8274000.0,640000.0,640000.0,9554000.0,0.0,,0.0,18736000.0
2024-06-30,,-2937000.0,,,,,,,,,,,,,-2937000.0,,-2937000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,640000.0,640000.0,,-310000.0,,,
