date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Net Income From Continuing Operations
2025-12-31,324800000.0,-39000000.0,,-70700000.0,12000000.0,10100000.0,1550400000.0,1161300000.0,389100000.0,-145400000.0,-145400000.0,,-106400000.0,-106400000.0,-39000000.0,-39000000.0,,,,139000000.0,139000000.0,100000.0,209600000.0,220400000.0,-10800000.0,-14200000.0,-14200000.0,-56500000.0,395500000.0,395000000.0,141200000.0,-8900000.0,-27700000.0,-27700000.0,-27700000.0,-21900000.0,199700000.0,-100000.0,57700000.0,,100000.0,100000.0,117400000.0,117400000.0,44500000.0,44500000.0,72900000.0,79200000.0
2025-09-30,138200000.0,-1000000.0,0.0,-61800000.0,700000.0,9600000.0,1161300000.0,1185900000.0,-24600000.0,-93500000.0,-93500000.0,13100000.0,-105600000.0,-105600000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,-131100000.0,-131100000.0,3900000.0,-73200000.0,144400000.0,-217600000.0,-5800000.0,-5800000.0,-56000000.0,200000000.0,200000000.0,-39500000.0,171300000.0,34500000.0,34500000.0,34500000.0,-43400000.0,-201900000.0,-5400000.0,63500000.0,0.0,-76900000.0,-76900000.0,116900000.0,116900000.0,44500000.0,44500000.0,72400000.0,141400000.0
2025-06-30,246000000.0,-334700000.0,0.0,-68200000.0,12300000.0,22500000.0,1185900000.0,1387800000.0,-201900000.0,-438600000.0,-438600000.0,0.0,-103900000.0,-103900000.0,-334700000.0,-334700000.0,0.0,0.0,0.0,-77500000.0,-77500000.0,0.0,-9300000.0,126600000.0,-135900000.0,-6700000.0,-6700000.0,-61500000.0,314200000.0,314200000.0,37900000.0,67300000.0,21700000.0,21700000.0,21700000.0,-26800000.0,-24300000.0,-1100000.0,55100000.0,0.0,1400000.0,1400000.0,115900000.0,115900000.0,45800000.0,45800000.0,70100000.0,105000000.0
2025-03-31,363300000.0,-500600000.0,0.0,-46100000.0,400000.0,111700000.0,1387800000.0,1602500000.0,-214700000.0,-591200000.0,-591200000.0,20000000.0,-110600000.0,-110600000.0,-500600000.0,-500600000.0,0.0,0.0,0.0,-32900000.0,-32900000.0,100000.0,13100000.0,142400000.0,-129300000.0,-7600000.0,-7600000.0,-38500000.0,409400000.0,409900000.0,143600000.0,-60400000.0,30800000.0,30800000.0,30800000.0,25100000.0,148100000.0,0.0,62700000.0,0.0,20200000.0,20200000.0,114200000.0,114200000.0,45600000.0,45600000.0,68600000.0,68700000.0
2024-12-31,328400000.0,-38300000.0,0.0,-48800000.0,12000000.0,3300000.0,1602500000.0,1368600000.0,233900000.0,-150800000.0,-150800000.0,0.0,-112500000.0,-112500000.0,-38300000.0,-38300000.0,0.0,0.0,0.0,7500000.0,7500000.0,2100000.0,54200000.0,204900000.0,-150700000.0,-9800000.0,-9800000.0,-39000000.0,377200000.0,376700000.0,51200000.0,-4600000.0,-19900000.0,-19900000.0,-19900000.0,86900000.0,-11200000.0,-2600000.0,51100000.0,0.0,-500000.0,-500000.0,116000000.0,116000000.0,48400000.0,48400000.0,67600000.0,162000000.0
2024-09-30,,,0.0,,,,,,,,,14400000.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,131100000.0,,,,,,,,
