date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
2025-10-31,20181000.0,0.0,-3000.0,-67643000.0,492256000.0,85000.0,479521000.0,-9901000.0,22551000.0,27000.0,27000.0,,2150000.0,0.0,0.0,-3000.0,-3000.0,-3000.0,-65300000.0,-65300000.0,746000.0,1597000.0,34675000.0,-33078000.0,-67549000.0,-67549000.0,87824000.0,87824000.0,4615000.0,3292000.0,6240000.0,6240000.0,6240000.0,1152000.0,-6069000.0,-6069000.0,3385000.0,18371000.0,18371000.0,78621000.0
2025-07-31,25216000.0,-20740000.0,-3000.0,-24839000.0,479521000.0,-104000.0,530708000.0,11826000.0,-62909000.0,-20212000.0,-20212000.0,537000.0,-6000.0,-20740000.0,-20740000.0,-3000.0,-3000.0,-3000.0,-92752000.0,-92752000.0,303000.0,-68216000.0,666000.0,-68882000.0,-24839000.0,-24839000.0,50055000.0,50055000.0,-1225000.0,-1075000.0,-6835000.0,-6835000.0,-6835000.0,-1400000.0,8085000.0,8085000.0,3293000.0,18848000.0,18848000.0,29139000.0
2025-04-30,-29096000.0,-72109000.0,-2623000.0,-60549000.0,530708000.0,-164000.0,642200000.0,19505000.0,-130833000.0,-74594000.0,-74594000.0,150000.0,-12000.0,-72109000.0,-72109000.0,-2623000.0,-2623000.0,-2623000.0,-87692000.0,-87692000.0,546000.0,-27689000.0,0.0,-27689000.0,-60549000.0,-60549000.0,31453000.0,31453000.0,-15734000.0,-6410000.0,-3587000.0,-3587000.0,-3587000.0,-2161000.0,-3576000.0,-3576000.0,3376000.0,19594000.0,19594000.0,24217000.0
2025-01-31,43266000.0,-4573000.0,-15343000.0,-35200000.0,642200000.0,-2674000.0,601243000.0,-21202000.0,64833000.0,-20478000.0,-20478000.0,1433000.0,-1995000.0,-4573000.0,-4573000.0,-15343000.0,-15343000.0,-15343000.0,6845000.0,6845000.0,563000.0,41482000.0,41482000.0,0.0,-35200000.0,-35200000.0,78466000.0,78466000.0,-3917000.0,-522000.0,-8731000.0,-8731000.0,-8731000.0,-2533000.0,7869000.0,7869000.0,3334000.0,20792000.0,20792000.0,58257000.0
2024-10-31,25072000.0,,-2121000.0,-43298000.0,598485000.0,-88000.0,537331000.0,8581000.0,52661000.0,-1302000.0,-1302000.0,,1893000.0,,,-2121000.0,-2121000.0,-2121000.0,-14407000.0,-14407000.0,751000.0,28140000.0,28140000.0,0.0,-43209000.0,-43209000.0,68370000.0,68370000.0,4293000.0,3406000.0,-1387000.0,,,-366000.0,2640000.0,2640000.0,4049000.0,21192000.0,21192000.0,40225000.0
2024-07-31,,0.0,,,,,,,,,,19000.0,,0.0,0.0,,,,,,,,,,,,,,,,,6028000.0,6028000.0,,,,,,,
