date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-12-31,,,,,,,,,,,,,,,,,,5186200000.0,5186200000.0,97.5,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,-44089952.77067,0.140118,691429525000.0,-314663000.0,-314663000.0,452301407000.0,162787271000.0,401375489000.0,691114862000.0,528327591000.0,23221777000.0,2958568000.0,26180345000.0,452571980047.2293,452301407000.0,489233500000.0,500684818000.0,5186008600.0,5185722800.0,87.2,87.2,452301407000.0,452301407000.0,452301407000.0,546045000.0,451755362000.0,451755362000.0,73613661000.0,525369023000.0,1462428000.0,352353000.0,0.0,0.0,1424738000.0,-314663000.0,23221777000.0,,2958568000.0,26180345000.0,500684818000.0,87858011000.0,93566000.0,63742245000.0,24022200000.0,3973966000.0,20048234000.0,20048234000.0,588542829000.0,401375489000.0,989918318000.0,989918318000.0
2025-06-30,1226383419.411284,0.193783,678455564000.0,6328647000.0,6328647000.0,398273102000.0,188057912000.0,386422631000.0,684784211000.0,496726299000.0,21500903000.0,3691095000.0,25191998000.0,393170838419.41125,398273102000.0,470351371000.0,463423638000.0,5185775400.0,5185651000.0,76.8,76.8,398273102000.0,398273102000.0,398273102000.0,779678000.0,397493424000.0,397493424000.0,95541780000.0,493035204000.0,8093803000.0,544208000.0,0.0,0.0,1220948000.0,6328647000.0,21500903000.0,,3691095000.0,25191998000.0,463440498000.0,83928740000.0,-579599000.0,61279719000.0,23228620000.0,4273247000.0,18955373000.0,18955373000.0,547369238000.0,386422631000.0,933791869000.0,933791869000.0
2025-03-31,37293796.192207,0.16283,608482730000.0,229035000.0,229035000.0,360732661000.0,175139079000.0,345858588000.0,608711765000.0,433572686000.0,22182038000.0,2677274000.0,24859312000.0,360540919796.1922,360732661000.0,432164496000.0,407080808000.0,5185800000.0,5185800000.0,69.7,69.7,360732661000.0,360732661000.0,360732661000.0,831467000.0,360732661000.0,360732661000.0,70162751000.0,430895412000.0,1624206000.0,26864000.0,-167986000.0,-167986000.0,1368307000.0,397021000.0,22182038000.0,,2677274000.0,24859312000.0,407089168000.0,86305908000.0,1119852000.0,56547493000.0,28638563000.0,3754815000.0,24883748000.0,24883748000.0,493395076000.0,345858588000.0,839253664000.0,714028927000.0
2024-12-31,-88934839.93918,0.198838,622148144000.0,-447273000.0,-447273000.0,359792224000.0,170378287000.0,356082992000.0,621700871000.0,451322584000.0,21750126000.0,2523215000.0,24273341000.0,360150562160.0608,359792224000.0,442762948000.0,425712863000.0,5186546648.0,5186546648.0,72.240746,72.240746,359792224000.0,359792224000.0,359792224000.0,231195000.0,359561029000.0,359561029000.0,89238340000.0,448799369000.0,1351012000.0,508544000.0,,,1289741000.0,-454373000.0,21750126000.0,-21750000000.0,2523215000.0,24273341000.0,425698231000.0,86679956000.0,341051000.0,57231334000.0,29107571000.0,3680530000.0,25427041000.0,25427041000.0,512378187000.0,356082992000.0,868461179000.0,868461179000.0
2024-09-30,278073070.915004,0.153849,385015198000.0,1807444000.0,1807444000.0,325257571000.0,168228557000.0,320346477000.0,386822642000.0,386822642000.0,19965864000.0,2635790000.0,22601654000.0,323728200070.915,325257571000.0,398925854000.0,360766289000.0,,,,,325257571000.0,325257571000.0,325257571000.0,177401000.0,325080170000.0,325080170000.0,59106682000.0,384186852000.0,3454699000.0,86522000.0,0.0,0.0,1560733000.0,1807444000.0,19965864000.0,,2635790000.0,22601654000.0,360766289000.0,78579377000.0,-499527000.0,52783826000.0,26295078000.0,3404487000.0,22890591000.0,22890591000.0,439345666000.0,320346477000.0,759692143000.0,759692143000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
