date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-09-30,-714285.714286,0.119048,232000000.0,-6000000.0,-6000000.0,74000000.0,86000000.0,504000000.0,226000000.0,140000000.0,-50000000.0,56000000.0,6000000.0,79285714.285714,74000000.0,846000000.0,138000000.0,67600000.0,67300000.0,1.1,1.1,74000000.0,74000000.0,74000000.0,74000000.0,74000000.0,10000000.0,84000000.0,-8000000.0,-2000000.0,-6000000.0,,2000000.0,,4000000.0,-50000000.0,,56000000.0,6000000.0,142000000.0,319000000.0,63000000.0,63000000.0,63000000.0,63000000.0,76000000.0,180000000.0,461000000.0,527000000.0,988000000.0,988000000.0
2025-06-30,-972222.222222,0.138889,224000000.0,-7000000.0,-7000000.0,62000000.0,87000000.0,495000000.0,217000000.0,130000000.0,-51000000.0,58000000.0,7000000.0,68027777.777778,62000000.0,833000000.0,135000000.0,67400000.0,67200000.0,0.92,0.92,62000000.0,62000000.0,62000000.0,62000000.0,62000000.0,10000000.0,72000000.0,-17000000.0,-10000000.0,-7000000.0,,2000000.0,,5000000.0,-51000000.0,,58000000.0,7000000.0,140000000.0,313000000.0,62000000.0,62000000.0,62000000.0,62000000.0,76000000.0,175000000.0,453000000.0,520000000.0,973000000.0,973000000.0
2025-03-31,-2583000.0,0.123,224000000.0,-21000000.0,-21000000.0,52000000.0,85000000.0,467000000.0,203000000.0,118000000.0,-50000000.0,59000000.0,9000000.0,70417000.0,52000000.0,807000000.0,111000000.0,67700000.0,67400000.0,0.77,0.77,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,7000000.0,59000000.0,-20000000.0,1000000.0,-21000000.0,,5000000.0,,16000000.0,-50000000.0,,59000000.0,9000000.0,129000000.0,315000000.0,60000000.0,60000000.0,60000000.0,60000000.0,70000000.0,185000000.0,444000000.0,492000000.0,936000000.0,936000000.0
2024-12-31,-630000.0,0.21,238000000.0,-3000000.0,-3000000.0,91000000.0,86000000.0,468000000.0,235000000.0,149000000.0,-55000000.0,69000000.0,19000000.0,93370000.0,91000000.0,795000000.0,136000000.0,67700000.0,67400000.0,1.33,1.34,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,-11000000.0,80000000.0,-4000000.0,-1000000.0,-3000000.0,0.0,0.0,0.0,3000000.0,-55000000.0,,69000000.0,19000000.0,139000000.0,302000000.0,61000000.0,61000000.0,61000000.0,61000000.0,65000000.0,176000000.0,441000000.0,493000000.0,934000000.0,934000000.0
2024-09-30,-2310000.0,0.21,236000000.0,-11000000.0,-11000000.0,62000000.0,87000000.0,438000000.0,225000000.0,138000000.0,-58000000.0,78000000.0,20000000.0,70690000.0,62000000.0,762000000.0,128000000.0,67600000.0,67400000.0,0.92,0.92,62000000.0,62000000.0,62000000.0,62000000.0,62000000.0,-2000000.0,60000000.0,-16000000.0,-5000000.0,-11000000.0,0.0,7000000.0,0.0,4000000.0,-58000000.0,,78000000.0,20000000.0,134000000.0,298000000.0,61000000.0,61000000.0,61000000.0,61000000.0,70000000.0,167000000.0,432000000.0,464000000.0,896000000.0,896000000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8000000.0,,,,,,,,,,,,,,
