date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-12-31,-333106.972566,0.148642,53272000.0,-2241000.0,-2241000.0,10202000.0,35260000.0,239102000.0,51031000.0,15771000.0,5680000.0,1300000.0,6980000.0,12109893.027434,10202000.0,378450000.0,13205000.0,46251000.0,46208000.0,0.22,0.22,10202000.0,10202000.0,10202000.0,-2118000.0,12320000.0,12320000.0,2151000.0,14471000.0,-4337000.0,-2096000.0,77000.0,128000.0,0.0,0.0,51000.0,-2318000.0,5680000.0,1300000.0,6980000.0,13128000.0,108802000.0,,4714000.0,4714000.0,4714000.0,4714000.0,41150000.0,62939000.0,121930000.0,269648000.0,391578000.0,391578000.0
2025-09-30,-307615.0,0.187,57879000.0,-1645000.0,-1645000.0,14278000.0,36699000.0,240833000.0,56234000.0,19535000.0,7984000.0,503000.0,8487000.0,15615385.0,14278000.0,379890000.0,11572000.0,46437000.0,46383000.0,0.31,0.31,14278000.0,14278000.0,14278000.0,-1199000.0,15477000.0,15477000.0,3555000.0,19032000.0,-1232000.0,413000.0,-708000.0,-699000.0,0.0,0.0,9000.0,-937000.0,7984000.0,503000.0,8487000.0,12280000.0,108208000.0,-1000.0,5850000.0,5850000.0,5850000.0,5850000.0,41861000.0,60498000.0,120488000.0,271682000.0,392170000.0,392170000.0
2025-06-30,6265520.0,0.17,52757000.0,36856000.0,36856000.0,46098000.0,35884000.0,220843000.0,89613000.0,53729000.0,6518000.0,506000.0,7024000.0,15507520.0,46098000.0,356736000.0,9389000.0,46462000.0,46398000.0,0.99,0.99,46098000.0,46098000.0,46098000.0,1938000.0,44160000.0,44160000.0,9063000.0,53223000.0,37229000.0,373000.0,13643000.0,-19000.0,13730000.0,0.0,68000.0,23213000.0,6518000.0,506000.0,7024000.0,9476000.0,105848000.0,2000.0,5839000.0,5839000.0,5839000.0,5839000.0,40537000.0,59470000.0,115324000.0,250888000.0,366212000.0,366212000.0
2025-03-31,-2102940.0,0.21,43618000.0,-10014000.0,-10014000.0,-4437000.0,35904000.0,197339000.0,33604000.0,-2300000.0,5346000.0,467000.0,5813000.0,3474060.0,-4437000.0,330835000.0,1296000.0,46370000.0,46370000.0,-0.1,-0.1,-4437000.0,-4437000.0,-4437000.0,-1650000.0,-2787000.0,-2787000.0,20000.0,-2767000.0,-9391000.0,623000.0,-5799000.0,18000.0,,5817000.0,,-4215000.0,5346000.0,467000.0,5813000.0,1278000.0,103416000.0,266000.0,5824000.0,5824000.0,5824000.0,5824000.0,38627000.0,58699000.0,104694000.0,227419000.0,332113000.0,332113000.0
2024-12-31,-619286.308068,0.166341,51364000.0,-3723000.0,-3723000.0,8241000.0,34877000.0,198539000.0,47641000.0,12764000.0,4426000.0,494000.0,4920000.0,11344713.691932,8241000.0,328945000.0,11917000.0,46397000.0,46333000.0,0.18,0.18,8241000.0,8241000.0,8241000.0,-1988000.0,10229000.0,10229000.0,2041000.0,12270000.0,-2509000.0,1214000.0,1564000.0,2116000.0,,,552000.0,-5287000.0,4426000.0,494000.0,4920000.0,10353000.0,100531000.0,,5002000.0,5002000.0,5002000.0,5002000.0,33207000.0,62323000.0,110884000.0,228414000.0,339298000.0,339298000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-211000.0,,,,,,,1000.0,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
