date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-09-30,0.0,0.149934,31845000.0,-53181000.0,62951000.0,31845000.0,31845000.0,6526000.0,6526000.0,-53181000.0,-53181000.0,94148000.0,31845000.0,45755000.0,45755000.0,-1.16,-1.16,-53181000.0,-53181000.0,-53181000.0,-53181000.0,-53181000.0,-9380000.0,-62561000.0,-100932000.0,-100932000.0,6526000.0,6526000.0,31845000.0,31197000.0,13453000.0,17744000.0,63042000.0,62951000.0,125993000.0,125993000.0
2025-06-30,0.0,0.087252,42896000.0,33695000.0,60706000.0,42896000.0,42896000.0,4942000.0,7308000.0,33695000.0,33695000.0,91343000.0,31974000.0,49327000.0,45682000.0,0.69,0.74,33695000.0,33695000.0,33695000.0,33695000.0,33695000.0,3221000.0,36916000.0,,,4942000.0,7308000.0,31974000.0,30637000.0,11474000.0,19163000.0,62611000.0,60706000.0,123317000.0,123317000.0
2025-03-31,0.0,0.100228,32700000.0,34311000.0,58074000.0,32700000.0,32700000.0,5433000.0,5433000.0,34311000.0,34311000.0,85938000.0,32700000.0,49286000.0,45561000.0,0.7,0.75,34311000.0,34311000.0,34311000.0,34311000.0,34311000.0,3822000.0,38133000.0,,,5433000.0,5433000.0,32700000.0,27864000.0,10362000.0,17502000.0,60564000.0,58074000.0,118638000.0,118638000.0
2024-12-31,0.0,0.119173,55563000.0,33009000.0,59161000.0,55563000.0,55563000.0,6138000.0,7847000.0,33009000.0,33009000.0,85993000.0,31300000.0,49503000.0,45428000.0,0.67,0.73,34103000.0,33009000.0,33009000.0,33009000.0,33009000.0,4466000.0,37475000.0,,,6138000.0,7847000.0,31300000.0,26832000.0,10371000.0,16461000.0,58132000.0,59161000.0,117293000.0,117293000.0
2024-09-30,0.0,0.090876,29646000.0,32743000.0,56484000.0,29646000.0,29646000.0,6370000.0,6370000.0,32743000.0,32743000.0,82694000.0,29646000.0,49437000.0,45365000.0,0.66,0.72,32743000.0,32743000.0,32743000.0,32743000.0,32743000.0,3273000.0,36016000.0,,,6370000.0,6370000.0,29646000.0,26210000.0,9770000.0,16440000.0,55856000.0,56484000.0,112340000.0,112340000.0
