date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-12-31,0.0,0.022,254000000.0,0.0,0.0,223000000.0,63000000.0,30000000.0,254000000.0,191000000.0,29000000.0,29000000.0,223000000.0,223000000.0,1051000000.0,185000000.0,1069000000.0,1062000000.0,0.21,0.21,223000000.0,223000000.0,223000000.0,223000000.0,223000000.0,5000000.0,228000000.0,8000000.0,8000000.0,-6000000.0,6000000.0,29000000.0,29000000.0,191000000.0,1021000000.0,737000000.0,284000000.0,1212000000.0,30000000.0,1242000000.0,1242000000.0
2025-09-30,-3392000.0,0.212,234000000.0,-16000000.0,-16000000.0,238000000.0,55000000.0,29000000.0,218000000.0,163000000.0,27000000.0,27000000.0,250608000.0,238000000.0,972000000.0,163000000.0,1069000000.0,1060000000.0,0.22,0.22,238000000.0,238000000.0,238000000.0,238000000.0,238000000.0,64000000.0,302000000.0,112000000.0,128000000.0,,-16000000.0,27000000.0,27000000.0,163000000.0,943000000.0,691000000.0,252000000.0,1106000000.0,29000000.0,1135000000.0,1135000000.0
2025-06-30,438356.164384,0.109589,170000000.0,4000000.0,4000000.0,130000000.0,60000000.0,30000000.0,174000000.0,114000000.0,27000000.0,27000000.0,126438356.164384,130000000.0,939000000.0,114000000.0,1065000000.0,1058000000.0,0.12,0.12,130000000.0,130000000.0,130000000.0,130000000.0,130000000.0,16000000.0,146000000.0,5000000.0,1000000.0,,4000000.0,27000000.0,27000000.0,114000000.0,909000000.0,650000000.0,259000000.0,1023000000.0,30000000.0,1053000000.0,1053000000.0
2025-03-31,-60900000.0,0.21,749000000.0,-290000000.0,-290000000.0,210000000.0,49000000.0,28000000.0,459000000.0,410000000.0,27000000.0,27000000.0,439100000.0,210000000.0,831000000.0,410000000.0,1065000000.0,1055000000.0,0.2,0.2,210000000.0,210000000.0,210000000.0,210000000.0,210000000.0,-66000000.0,144000000.0,-293000000.0,-3000000.0,0.0,-290000000.0,27000000.0,27000000.0,410000000.0,803000000.0,546000000.0,257000000.0,1213000000.0,28000000.0,1241000000.0,1241000000.0
2024-12-31,2328358.208955,0.059701,183000000.0,39000000.0,39000000.0,252000000.0,47000000.0,28000000.0,222000000.0,175000000.0,28000000.0,28000000.0,215328358.208955,252000000.0,808000000.0,175000000.0,1064000000.0,1052000000.0,0.24,0.24,252000000.0,252000000.0,252000000.0,252000000.0,252000000.0,16000000.0,268000000.0,65000000.0,26000000.0,0.0,39000000.0,28000000.0,28000000.0,175000000.0,780000000.0,533000000.0,247000000.0,955000000.0,28000000.0,983000000.0,983000000.0
