date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-12-31,0.0,0.017,66665000.0,0.0,0.0,48767000.0,15378000.0,119833000.0,66665000.0,51287000.0,6292000.0,1698000.0,7990000.0,48767000.0,48767000.0,228315000.0,43297000.0,76718000.0,74822000.0,0.64,0.65,48767000.0,48767000.0,48767000.0,48767000.0,48767000.0,822000.0,49589000.0,,0.0,,6292000.0,1698000.0,7990000.0,43297000.0,108482000.0,66459000.0,42023000.0,151779000.0,119833000.0,271612000.0,271612000.0
2025-09-30,0.0,0.192873,75344000.0,0.0,0.0,45120000.0,17649000.0,118869000.0,75344000.0,57695000.0,6223000.0,1793000.0,8016000.0,45120000.0,45120000.0,221575000.0,39595000.0,76252000.0,74473000.0,0.59,0.61,45120000.0,45120000.0,45120000.0,45120000.0,45120000.0,10782000.0,55902000.0,10084000.0,0.0,0.0,6223000.0,1793000.0,8016000.0,39595000.0,102706000.0,62880000.0,39826000.0,142301000.0,118869000.0,261170000.0,261170000.0
2025-06-30,0.0,0.171,60104000.0,0.0,0.0,36534000.0,14846000.0,112643000.0,60104000.0,45258000.0,6420000.0,1178000.0,7598000.0,36534000.0,36534000.0,214419000.0,37660000.0,75864000.0,74427000.0,0.48,0.49,36534000.0,36534000.0,36534000.0,36534000.0,36534000.0,7546000.0,44080000.0,,0.0,,6420000.0,1178000.0,7598000.0,37660000.0,101776000.0,63380000.0,38396000.0,139436000.0,112643000.0,252079000.0,252079000.0
2025-03-31,0.0,0.226,56914000.0,0.0,0.0,31666000.0,14805000.0,105731000.0,56914000.0,42109000.0,6060000.0,1179000.0,7239000.0,31666000.0,31666000.0,201017000.0,34870000.0,75741000.0,74358000.0,0.42,0.43,31666000.0,31666000.0,31666000.0,31666000.0,31666000.0,9264000.0,40930000.0,,0.0,,6060000.0,1179000.0,7239000.0,34870000.0,95286000.0,57837000.0,37449000.0,130156000.0,105731000.0,235887000.0,235887000.0
2024-12-31,-2703372.0,0.014,40522000.0,-193098000.0,-193098000.0,-167530000.0,15995000.0,101013000.0,-152576000.0,-168571000.0,5634000.0,1366000.0,7000000.0,22864628.0,-167530000.0,200595000.0,17527000.0,72780000.0,72780000.0,-2.3,-2.3,-167530000.0,-167530000.0,-167530000.0,-167530000.0,-167530000.0,-2407000.0,-169937000.0,-193098000.0,-193098000.0,193098000.0,5634000.0,1366000.0,7000000.0,17527000.0,99582000.0,60369000.0,39213000.0,117109000.0,101013000.0,218122000.0,218122000.0
