date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-06-30,-4377552.659213,0.005992,-321000000.0,-730600000.0,-730600000.0,-1609200000.0,252100000.0,879200000.0,-1051600000.0,-1303700000.0,-247600000.0,315200000.0,67600000.0,-882977552.659213,-1609200000.0,1385800000.0,-1329200000.0,141320000.0,141320000.0,-11.39,-11.39,-1609200000.0,-1609200000.0,-1609200000.0,,-1609200000.0,0.0,-1609200000.0,-9700000.0,-1618900000.0,-743100000.0,-12500000.0,-753200000.0,20000000.0,17000000.0,54700000.0,535700000.0,165800000.0,22600000.0,-247600000.0,315200000.0,67600000.0,-628200000.0,506600000.0,85200000.0,,,,,175100000.0,246300000.0,246300000.0,246300000.0,-121600000.0,879200000.0,757600000.0,757600000.0
2024-06-30,-210000.0,0.21,-144200000.0,-1000000.0,-1000000.0,-573600000.0,181000000.0,729800000.0,-145200000.0,-326200000.0,-111300000.0,246300000.0,135000000.0,-572810000.0,-864200000.0,1231900000.0,-445300000.0,125693000.0,125693000.0,-6.88,-6.88,-864200000.0,-864200000.0,-864200000.0,,-864200000.0,-290600000.0,-573600000.0,1100000.0,-572500000.0,-36500000.0,-35500000.0,-19500000.0,0.0,7700000.0,0.0,1200000.0,18300000.0,18500000.0,-111300000.0,246300000.0,135000000.0,-424700000.0,502100000.0,53800000.0,1100000.0,1100000.0,1100000.0,1100000.0,201900000.0,246400000.0,246400000.0,246400000.0,77400000.0,729800000.0,807200000.0,807200000.0
2023-06-30,7875000.0,0.0,-109100000.0,37500000.0,37500000.0,-260500000.0,145600000.0,515600000.0,-71600000.0,-217200000.0,15600000.0,42600000.0,58200000.0,-290125000.0,-329900000.0,1055800000.0,-311800000.0,124374000.0,124374000.0,-2.65,-2.65,-329900000.0,-329900000.0,-329900000.0,0.0,-329900000.0,-69400000.0,-260500000.0,700000.0,-259800000.0,21900000.0,-15600000.0,37500000.0,0.0,-50300000.0,0.0,2000000.0,10800000.0,,15600000.0,42600000.0,58200000.0,-297300000.0,540200000.0,160200000.0,10900000.0,10900000.0,10900000.0,10900000.0,165700000.0,214300000.0,214300000.0,214300000.0,242900000.0,515600000.0,758500000.0,758500000.0
2022-06-30,-22722000.0,0.21,2900000.0,-108200000.0,-108200000.0,-250100000.0,111500000.0,254700000.0,-105300000.0,-216800000.0,-13800000.0,25100000.0,11300000.0,-164622000.0,-200900000.0,691800000.0,-203100000.0,120120000.0,120120000.0,-1.67,-1.67,-200900000.0,-200900000.0,-200900000.0,0.0,-200900000.0,49200000.0,-250100000.0,8200000.0,-241900000.0,-108400000.0,-200000.0,-108200000.0,300000.0,24800000.0,,,83700000.0,300000.0,-13800000.0,25100000.0,11300000.0,-119700000.0,327800000.0,70000000.0,2200000.0,2200000.0,2200000.0,2200000.0,142600000.0,183000000.0,183000000.0,183000000.0,208100000.0,364000000.0,572100000.0,572100000.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,-1400000.0,,,,,,,,,,,,,,8700000.0,,,,,,,14500000.0,14500000.0,14500000.0,14500000.0,,,,,,,,
