date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Net Income From Continuing Operations
2025-12-31,2603000000.0,-1477000000.0,-750000000.0,1199000000.0,400000000.0,-4550000000.0,335000000.0,3225000000.0,3200000000.0,25000000.0,-5689000000.0,-5689000000.0,-62000000.0,-4999000000.0,-4999000000.0,-1077000000.0,-1477000000.0,400000000.0,449000000.0,449000000.0,-750000000.0,1199000000.0,-1439000000.0,-1439000000.0,327000000.0,2784000000.0,6308000000.0,-3524000000.0,-4550000000.0,7153000000.0,7153000000.0,-271000000.0,,240000000.0,-28000000.0,268000000.0,77000000.0,191000000.0,191000000.0,10000000.0,-277000000.0,-244000000.0,-244000000.0,22000000.0,419000000.0,-19000000.0,-19000000.0,1999000000.0,1999000000.0,81000000.0,81000000.0,1918000000.0,2000000.0,5001000000.0
2024-12-31,1498000000.0,-929000000.0,-600000000.0,2980000000.0,517000000.0,-4820000000.0,588000000.0,3200000000.0,2964000000.0,236000000.0,-2880000000.0,-2880000000.0,-53000000.0,-4795000000.0,-4795000000.0,-412000000.0,-929000000.0,517000000.0,2380000000.0,2380000000.0,-600000000.0,2980000000.0,-3202000000.0,-3202000000.0,147000000.0,1471000000.0,11187000000.0,-9716000000.0,-4820000000.0,6318000000.0,6318000000.0,257000000.0,,710000000.0,-12000000.0,722000000.0,125000000.0,597000000.0,597000000.0,7000000.0,-528000000.0,68000000.0,68000000.0,-368000000.0,387000000.0,-210000000.0,-210000000.0,1580000000.0,1580000000.0,72000000.0,72000000.0,1508000000.0,-127000000.0,4799000000.0
2023-12-31,1349000000.0,-293000000.0,-500000000.0,3000000000.0,263000000.0,-5071000000.0,0.0,2964000000.0,3050000000.0,-86000000.0,-2144000000.0,-2144000000.0,-57000000.0,-4557000000.0,-4557000000.0,-30000000.0,-293000000.0,263000000.0,2500000000.0,2500000000.0,-500000000.0,3000000000.0,-4362000000.0,-4362000000.0,27000000.0,682000000.0,13387000000.0,-12705000000.0,-5071000000.0,6420000000.0,6420000000.0,-1099000000.0,29000000.0,-11000000.0,29000000.0,-40000000.0,-33000000.0,-7000000.0,-7000000.0,46000000.0,-1242000000.0,108000000.0,108000000.0,-292000000.0,362000000.0,-299000000.0,-299000000.0,1238000000.0,1238000000.0,63000000.0,63000000.0,1175000000.0,,6510000000.0
2022-12-31,5923000000.0,-3615000000.0,-500000000.0,1494000000.0,241000000.0,-2797000000.0,0.0,3050000000.0,4631000000.0,-1581000000.0,-6718000000.0,-6718000000.0,-41000000.0,-4297000000.0,-4297000000.0,-3374000000.0,-3615000000.0,241000000.0,994000000.0,994000000.0,-500000000.0,1494000000.0,-3583000000.0,-3583000000.0,40000000.0,-826000000.0,13657000000.0,-14483000000.0,-2797000000.0,8720000000.0,8720000000.0,-813000000.0,22000000.0,222000000.0,22000000.0,200000000.0,106000000.0,94000000.0,94000000.0,6000000.0,-847000000.0,-194000000.0,-194000000.0,-290000000.0,289000000.0,-191000000.0,-191000000.0,979000000.0,979000000.0,54000000.0,54000000.0,925000000.0,-3000000.0,8749000000.0
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,,,,,,,-57000000.0,
