date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,199902000.0,-113312000.0,0.0,0.0,-30697000.0,0.0,27132000.0,99775000.0,94767000.0,-880000.0,5888000.0,-167987000.0,-167987000.0,-60140000.0,5465000.0,-113312000.0,-113312000.0,0.0,,,,0.0,0.0,0.0,-56724000.0,-56724000.0,-26027000.0,389347000.0,-415374000.0,0.0,0.0,0.0,0.0,0.0,-30697000.0,,-30697000.0,230599000.0,230599000.0,-22959000.0,3774000.0,-5356000.0,27426000.0,571000.0,26855000.0,580000.0,26275000.0,26275000.0,-5500000.0,-8480000.0,-34823000.0,-39835000.0,-5029000.0,44880000.0,1071000.0,-9875000.0,-9875000.0,42690000.0,42690000.0,11710000.0,11710000.0,30980000.0,,0.0,,,0.0,179821000.0
2023-12-31,172546000.0,-100525000.0,-10381000.0,0.0,-23240000.0,73000.0,25932000.0,94767000.0,125694000.0,306000.0,-31233000.0,-169623000.0,-169623000.0,-56970000.0,-1747000.0,-100525000.0,-100525000.0,-10381000.0,-10381000.0,-10381000.0,0.0,-10381000.0,-10381000.0,0.0,-57396000.0,-57396000.0,-140503000.0,293652000.0,-434155000.0,106347000.0,106347000.0,0.0,0.0,0.0,-23240000.0,,-23240000.0,195786000.0,195786000.0,8334000.0,-5048000.0,-5204000.0,53916000.0,41000.0,53875000.0,-5768000.0,59643000.0,59643000.0,2763000.0,-15254000.0,-22839000.0,-28931000.0,9882000.0,45011000.0,10045000.0,-145350000.0,-145350000.0,48428000.0,48428000.0,14741000.0,14741000.0,33687000.0,-114468000.0,-23924000.0,240000.0,,-90784000.0,333904000.0
2022-12-31,209915000.0,-100421000.0,-258060000.0,91729000.0,-20478000.0,1525000.0,25275000.0,125694000.0,108264000.0,-2007000.0,19437000.0,-362935000.0,-362935000.0,-32791000.0,-63392000.0,-100421000.0,-100421000.0,-166331000.0,-166331000.0,-258060000.0,91729000.0,-166331000.0,-258060000.0,91729000.0,151979000.0,151979000.0,188389000.0,339338000.0,-150949000.0,-15932000.0,0.0,-15932000.0,-3000000.0,-3000000.0,-17478000.0,,-17478000.0,230393000.0,230393000.0,64940000.0,-1354000.0,-6919000.0,-12049000.0,-4745000.0,-7304000.0,11975000.0,-19279000.0,-19279000.0,-89000.0,-12702000.0,98053000.0,-9274000.0,5731000.0,35552000.0,0.0,689000.0,689000.0,47127000.0,47127000.0,15610000.0,15610000.0,31517000.0,90664000.0,0.0,7038000.0,-1000.0,0.0,-14310000.0
2021-12-31,195425000.0,-100081000.0,0.0,0.0,-13792000.0,2372000.0,22839000.0,108264000.0,129324000.0,-413000.0,-20647000.0,-114209000.0,-114209000.0,-23085000.0,8957000.0,-100081000.0,-100081000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115655000.0,-115655000.0,-4748000.0,563199000.0,-567947000.0,-97115000.0,0.0,-97115000.0,0.0,0.0,-13792000.0,0.0,-13792000.0,209217000.0,209217000.0,103653000.0,15496000.0,-4790000.0,-24756000.0,-1642000.0,-23114000.0,2195000.0,-25309000.0,-25309000.0,6903000.0,6109000.0,104691000.0,-13521000.0,13945000.0,27486000.0,0.0,1522000.0,1522000.0,44277000.0,44277000.0,17467000.0,17467000.0,26810000.0,989000.0,0.0,,-82000.0,0.0,18334000.0
