date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,484602000.0,-356336000.0,-439124000.0,,35741000.0,-137600000.0,76336000.0,87256000.0,1021176000.0,1049258000.0,-2477000.0,-25605000.0,-684362000.0,-684362000.0,75357000.0,-320595000.0,-356336000.0,35741000.0,-439124000.0,-439124000.0,-439124000.0,,36555000.0,36555000.0,-5230000.0,,,,172326000.0,173117000.0,-791000.0,-130541000.0,7059000.0,-137600000.0,622202000.0,622202000.0,-6393000.0,-4103000.0,15662000.0,-38599000.0,-45777000.0,7178000.0,7178000.0,-24348000.0,18188000.0,26807000.0,26807000.0,25481000.0,136346000.0,199054000.0,-84737000.0,-84737000.0,296836000.0,296836000.0,133614000.0,133614000.0,163222000.0,,,,55615000.0
2024-03-31,705959000.0,-400054000.0,-58309000.0,0.0,36918000.0,-127230000.0,55270000.0,103059000.0,1049258000.0,808943000.0,3170000.0,237145000.0,-459574000.0,-459574000.0,-38129000.0,-363136000.0,-400054000.0,36918000.0,-58309000.0,-58309000.0,-58309000.0,0.0,-136470000.0,-136470000.0,4186000.0,,,,-62974000.0,20000000.0,-82974000.0,-77682000.0,49548000.0,-127230000.0,833189000.0,833189000.0,142404000.0,8681000.0,-50354000.0,220118000.0,130979000.0,89139000.0,89139000.0,-23174000.0,92909000.0,-105776000.0,-105776000.0,41806000.0,120834000.0,258129000.0,19405000.0,19405000.0,320933000.0,320933000.0,127898000.0,127898000.0,193035000.0,35262000.0,,35262000.0,-70322000.0
2023-03-31,684278000.0,-861751000.0,0.0,0.0,32507000.0,-158953000.0,66115000.0,105788000.0,808943000.0,972805000.0,-331000.0,-163531000.0,-853353000.0,-853353000.0,-24109000.0,-829244000.0,-861751000.0,32507000.0,0.0,0.0,0.0,0.0,-153409000.0,-153409000.0,3792000.0,,,,-95000.0,0.0,-95000.0,-157106000.0,1847000.0,-158953000.0,843231000.0,843231000.0,96985000.0,-33240000.0,36762000.0,-133108000.0,-17613000.0,-115495000.0,-115495000.0,43240000.0,-81450000.0,264781000.0,264781000.0,25299000.0,105580000.0,239512000.0,-66145000.0,-66145000.0,338848000.0,338848000.0,132425000.0,132425000.0,206423000.0,,,0.0,103152000.0
2022-03-31,835777000.0,-1152287000.0,-197500000.0,499070000.0,38303000.0,-213466000.0,59393000.0,125322000.0,972805000.0,1398309000.0,-3281000.0,-422223000.0,-875510000.0,-875510000.0,-63096000.0,-1113984000.0,-1152287000.0,38303000.0,301570000.0,301570000.0,-197500000.0,499070000.0,-595956000.0,-595956000.0,5748000.0,,,,-389136000.0,,-389136000.0,-212568000.0,898000.0,-213466000.0,1049243000.0,1049243000.0,-523801000.0,-3139000.0,-21963000.0,22135000.0,-11815000.0,33950000.0,33950000.0,-176742000.0,-236196000.0,-107896000.0,-107896000.0,14894000.0,83507000.0,48000000.0,31875000.0,31875000.0,361415000.0,361415000.0,150466000.0,150466000.0,210949000.0,744000.0,0.0,0.0,1033353000.0
2021-03-31,,,,1206750000.0,,,,,,,,,,,,,,,,,,1206750000.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61991000.0,0.0,,
