date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,2529027000.0,,-68037634000.0,66969930000.0,,-91343015000.0,105000226000.0,132553615000.0,3715419000.0,-31268808000.0,-39199747000.0,-39199747000.0,-546437000.0,-37585606000.0,,,,,-1067704000.0,-5015000000.0,-35698900000.0,30683900000.0,3947296000.0,-32338734000.0,36286030000.0,-85941103000.0,-85941103000.0,2852153000.0,1556928000.0,7691307000.0,-6134379000.0,871892000.0,1601874000.0,-729982000.0,-2799420000.0,-2799420000.0,-88422656000.0,120939000.0,-88543595000.0,93872042000.0,93872042000.0,-9976377000.0,4151879000.0,-1339730000.0,2274607000.0,-3469807000.0,-1423669000.0,1051303000.0,192256000.0,-1158757000.0,-1158757000.0,14590000.0,365305000.0,-2496245000.0,-2841206000.0,788849000.0,-69519000.0,,48167666000.0,48167666000.0,2695564000.0,2695564000.0,45472102000.0,-859140000.0,-1238628000.0,-881758000.0,1331907000.0,-72402000.0,1741000.0,57044820000.0
2023-12-31,-8020475000.0,,-27815825000.0,54537090000.0,,-94020184000.0,132553615000.0,173818777000.0,-392145000.0,-40873017000.0,-29086184000.0,-29086184000.0,-10792666000.0,-45014783000.0,,,,,26721265000.0,13530000000.0,-15590960000.0,29120960000.0,13191265000.0,-12224865000.0,25416130000.0,-97786542000.0,-97786542000.0,588310000.0,-6274425000.0,1204144000.0,-7478569000.0,1596372000.0,1596372000.0,0.0,-2546516000.0,-2546516000.0,-91150283000.0,323385000.0,-91473668000.0,85999709000.0,85999709000.0,-16011870000.0,4579972000.0,-1027500000.0,3649805000.0,-2102271000.0,1251267000.0,1380890000.0,939912000.0,-7024195000.0,-7024195000.0,-1341114000.0,-4944756000.0,6294611000.0,-6537352000.0,1031896000.0,-130518000.0,,40484037000.0,40484037000.0,2726481000.0,2726481000.0,37757556000.0,-6386894000.0,-4307614000.0,-1732945000.0,85353000.0,-268293000.0,-163395000.0,68450404000.0
2022-12-31,62976746000.0,0.0,-37348198000.0,2548351000.0,0.0,-82883783000.0,173818777000.0,132622131000.0,7018133000.0,34178513000.0,-57254750000.0,-57254750000.0,14990397000.0,-37445300000.0,-37445300000.0,0.0,0.0,0.0,-34799847000.0,-1965684000.0,-2194664000.0,228980000.0,-32834163000.0,-35153534000.0,2319371000.0,-54427266000.0,-54427266000.0,-441436000.0,28228671000.0,30953251000.0,-2724580000.0,0.0,0.0,0.0,-2756155000.0,-2756155000.0,-79458346000.0,669282000.0,-80127628000.0,145860529000.0,145860529000.0,-4717790000.0,1852783000.0,-1422337000.0,4132529000.0,-4297864000.0,-1045911000.0,783240000.0,-4041038000.0,9721433000.0,9721433000.0,490949000.0,-7637528000.0,-2078060000.0,-4401911000.0,1351738000.0,2723000.0,,44169708000.0,44169708000.0,2841334000.0,2841334000.0,41328374000.0,-434710000.0,-1626103000.0,-915081000.0,2436159000.0,-482983000.0,-50553000.0,109625660000.0
2021-12-31,40392334000.0,0.0,-30351035000.0,48526476000.0,0.0,-49959557000.0,132622131000.0,94048036000.0,-2104503000.0,40678598000.0,12490107000.0,12490107000.0,14185795000.0,-19871129000.0,-19871129000.0,0.0,0.0,0.0,18175441000.0,-8974216000.0,-16179231000.0,7205015000.0,27149657000.0,-14171804000.0,41321461000.0,-62163400000.0,-62163400000.0,2319802000.0,-15454317000.0,22613934000.0,-38068251000.0,714358000.0,714358000.0,0.0,-1924924000.0,-1924924000.0,-47818319000.0,216314000.0,-48034633000.0,90351891000.0,90351891000.0,-1936712000.0,505379000.0,-1539069000.0,3006829000.0,-4090182000.0,1202372000.0,-435407000.0,-227852000.0,4780692000.0,4780692000.0,688652000.0,-871589000.0,-8538398000.0,-2533232000.0,1745745000.0,-6121000.0,0.0,47074574000.0,47074574000.0,2894942000.0,2894942000.0,44179632000.0,-10371752000.0,-5193495000.0,-4529088000.0,-505434000.0,-143735000.0,,58496432000.0
