date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Amortization Of Securities,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Depreciation,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,-7856000.0,-26986000.0,-31348000.0,,,-10634000.0,803000.0,24926000.0,206407000.0,245524000.0,-4776000.0,-34341000.0,-59035000.0,-59035000.0,-701000.0,,,-26986000.0,-26986000.0,,-31348000.0,,,-31348000.0,-31348000.0,21916000.0,21916000.0,32443000.0,114228000.0,-81785000.0,0.0,,0.0,-10527000.0,107000.0,-10634000.0,2778000.0,2778000.0,-3879000.0,-17258000.0,-5903000.0,-16148000.0,-5794000.0,-5794000.0,-3560000.0,-2234000.0,-2234000.0,6374000.0,34850000.0,34850000.0,8493000.0,20740000.0,903000.0,-1254000.0,-3722000.0,-3722000.0,52487000.0,52487000.0,52487000.0,-1172000.0,-1589000.0,176000.0,,-69818000.0
2023-12-31,85417000.0,-23641000.0,-38840000.0,0.0,0.0,-16053000.0,3424000.0,44276000.0,245524000.0,242341000.0,60000.0,3123000.0,-68137000.0,-68137000.0,-5656000.0,,,-23641000.0,-23641000.0,0.0,-38840000.0,0.0,0.0,-38840000.0,-38840000.0,-30210000.0,-30210000.0,55359000.0,152649000.0,-97290000.0,-69732000.0,0.0,-69732000.0,-15837000.0,216000.0,-16053000.0,101470000.0,101470000.0,10413000.0,-21653000.0,-7454000.0,10920000.0,-46138000.0,-46138000.0,-21356000.0,-24782000.0,-24782000.0,12839000.0,61899000.0,61899000.0,2233000.0,17237000.0,0.0,-1364000.0,-4774000.0,-4774000.0,49744000.0,49744000.0,49744000.0,-175000.0,-540000.0,-4000.0,0.0,28156000.0
2022-12-31,98091000.0,-50719000.0,-38393000.0,0.0,0.0,-14770000.0,3443000.0,23123000.0,242341000.0,290201000.0,-1781000.0,-46079000.0,-91069000.0,-91069000.0,-1957000.0,0.0,0.0,-50719000.0,-50719000.0,0.0,-38393000.0,0.0,0.0,-38393000.0,-38393000.0,-67871000.0,-67871000.0,-53450000.0,155406000.0,-208856000.0,0.0,0.0,0.0,-14421000.0,349000.0,-14770000.0,112861000.0,112861000.0,-48944000.0,-9205000.0,-5258000.0,-16202000.0,-12222000.0,-12222000.0,-33130000.0,20908000.0,20908000.0,-18508000.0,12451000.0,12451000.0,9867000.0,14918000.0,0.0,-859000.0,-3504000.0,-3504000.0,46016000.0,46016000.0,46016000.0,-1480000.0,-1589000.0,-203000.0,0.0,96847000.0
2021-12-31,85915000.0,-7324000.0,-206255000.0,1376000.0,223119000.0,-12000000.0,6253000.0,22717000.0,290201000.0,149358000.0,-3491000.0,144334000.0,6526000.0,6526000.0,-4390000.0,0.0,0.0,215795000.0,-7324000.0,223119000.0,-204879000.0,1376000.0,1376000.0,-206255000.0,-206255000.0,39893000.0,39893000.0,-69150000.0,135549000.0,-204699000.0,120886000.0,120886000.0,0.0,-11843000.0,157000.0,-12000000.0,97915000.0,97915000.0,-78317000.0,867000.0,-6666000.0,1709000.0,20760000.0,20760000.0,17316000.0,3444000.0,3444000.0,-35864000.0,-59123000.0,-59123000.0,13397000.0,13792000.0,100000.0,0.0,953000.0,953000.0,48568000.0,48568000.0,,-67903000.0,-500000.0,1000.0,-70815000.0,167325000.0
