date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-12-31,86451000.0,86451000.0,50812000.0,145027000.0,84415000.0,575513000.0,62821000.0,84415000.0,21409000.0,451895000.0,575513000.0,451895000.0,451895000.0,1030000.0,1030000.0,-500406000.0,951262000.0,9000.0,9000.0,0.0,344501000.0,158481000.0,22550000.0,135931000.0,12313000.0,123618000.0,186020000.0,6935000.0,10620000.0,10620000.0,9096000.0,9096000.0,49219000.0,110150000.0,71723000.0,38427000.0,511000.0,511000.0,37916000.0,796396000.0,547555000.0,38428000.0,77268000.0,77268000.0,367480000.0,48892000.0,318588000.0,64379000.0,-157866000.0,222245000.0,35632000.0,2516000.0,81550000.0,102547000.0,0.0,248841000.0,50390000.0,1419000.0,,78104000.0,30506000.0,47598000.0,46122000.0,46122000.0,72806000.0,,72806000.0
2024-12-31,84613000.0,84613000.0,4421000.0,149361000.0,142687000.0,639279000.0,141158000.0,142687000.0,26365000.0,516283000.0,639279000.0,516283000.0,516283000.0,-6823000.0,-6823000.0,-363725000.0,886823000.0,8000.0,8000.0,0.0,348356000.0,166072000.0,26124000.0,139948000.0,16952000.0,122996000.0,182284000.0,6940000.0,1125000.0,1125000.0,9413000.0,9413000.0,20097000.0,144709000.0,112586000.0,32123000.0,745000.0,745000.0,31378000.0,864639000.0,541197000.0,21455000.0,68662000.0,68662000.0,373596000.0,55008000.0,318588000.0,77484000.0,-136301000.0,213785000.0,34981000.0,898000.0,81987000.0,95919000.0,0.0,323442000.0,28057000.0,1003000.0,,90343000.0,36364000.0,53979000.0,85464000.0,85464000.0,118575000.0,,118575000.0
2023-12-31,81818000.0,81818000.0,,157750000.0,294047000.0,808640000.0,265896000.0,294047000.0,35375000.0,686265000.0,808640000.0,686265000.0,686265000.0,-3791000.0,-3791000.0,-118527000.0,808575000.0,8000.0,8000.0,0.0,393992000.0,171863000.0,23245000.0,148618000.0,26243000.0,122375000.0,222129000.0,8704000.0,5581000.0,5581000.0,9132000.0,9132000.0,30426000.0,168286000.0,146214000.0,22072000.0,521000.0,521000.0,21551000.0,1080257000.0,592232000.0,32826000.0,69493000.0,69493000.0,392218000.0,73630000.0,318588000.0,97695000.0,-116178000.0,213873000.0,35867000.0,348000.0,85504000.0,92154000.0,0.0,488025000.0,29159000.0,1051000.0,,99908000.0,39540000.0,60368000.0,170619000.0,170619000.0,187288000.0,0.0,187288000.0
2022-12-31,78745000.0,78745000.0,,155599000.0,260330000.0,798142000.0,222038000.0,260330000.0,33842000.0,676385000.0,798142000.0,676385000.0,676385000.0,-1021000.0,-1021000.0,-45380000.0,722778000.0,8000.0,8000.0,0.0,503640000.0,162554000.0,17444000.0,145110000.0,23353000.0,121757000.0,341086000.0,9620000.0,1376000.0,1376000.0,10489000.0,10489000.0,59081000.0,260520000.0,183049000.0,77471000.0,8895000.0,8895000.0,68576000.0,1180025000.0,616901000.0,26822000.0,66491000.0,66491000.0,416055000.0,109316000.0,306739000.0,107533000.0,-102083000.0,209616000.0,34236000.0,7602000.0,79485000.0,88293000.0,0.0,563124000.0,24745000.0,982000.0,24745000.0,160544000.0,62704000.0,97840000.0,170971000.0,170971000.0,205882000.0,18529000.0,187353000.0
2021-12-31,,,175581000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000.0,,,,,,,0.0,
