date,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,46368000.0,246684000.0,293052000.0,25907000.0,1299883000.0,4131598000.0,5309005000.0,1618197000.0,4131598000.0,140423000.0,4149545000.0,5072976000.0,4183165000.0,33620000.0,4149545000.0,7510000.0,7510000.0,225033000.0,2335132000.0,2031643000.0,293000.0,293000.0,0.0,2761163000.0,1305888000.0,253880000.0,70594000.0,70594000.0,981414000.0,57983000.0,923431000.0,1455275000.0,59656000.0,59656000.0,318469000.0,82440000.0,236029000.0,236029000.0,13091000.0,1064059000.0,192910000.0,11487000.0,871149000.0,123195000.0,35067000.0,35067000.0,712887000.0,6944328000.0,3870856000.0,167031000.0,17947000.0,17947000.0,3685878000.0,-6993409000.0,10679287000.0,185351000.0,384032000.0,7623470000.0,2239481000.0,246953000.0,0.0,3073472000.0,61012000.0,,310910000.0,1055013000.0,1055013000.0,-1318000.0,1056331000.0,1646537000.0,512984000.0,1133553000.0
2023-12-31,46279000.0,245888000.0,292167000.0,83638000.0,1351670000.0,3942305000.0,5165764000.0,1811335000.0,3942305000.0,148214000.0,3962308000.0,5034140000.0,3995035000.0,32727000.0,3962308000.0,16350000.0,16350000.0,222335000.0,2159831000.0,2008170000.0,292000.0,292000.0,0.0,2776090000.0,1391615000.0,175813000.0,87133000.0,87133000.0,1128669000.0,56837000.0,1071832000.0,1384475000.0,71117000.0,71117000.0,223001000.0,91377000.0,131624000.0,131624000.0,7906000.0,1082451000.0,186415000.0,11175000.0,896036000.0,106368000.0,35215000.0,35215000.0,754453000.0,6771125000.0,3575315000.0,138861000.0,20003000.0,20003000.0,3416451000.0,-6672335000.0,10088786000.0,223332000.0,326512000.0,7245631000.0,2080589000.0,212722000.0,0.0,3195810000.0,58502000.0,,393128000.0,1149493000.0,1149493000.0,-8114000.0,1157607000.0,1594687000.0,474869000.0,1119818000.0
2022-12-31,46158000.0,245091000.0,291249000.0,273262000.0,1435640000.0,3647235000.0,4901086000.0,1638828000.0,3647235000.0,203306000.0,3668752000.0,4757273000.0,3699701000.0,30949000.0,3668752000.0,16699000.0,16699000.0,219226000.0,1874644000.0,1996344000.0,291000.0,291000.0,0.0,3122056000.0,1459645000.0,201839000.0,93540000.0,93540000.0,1164266000.0,75745000.0,1088521000.0,1662411000.0,81459000.0,81459000.0,271374000.0,127561000.0,143813000.0,143813000.0,7422000.0,1302156000.0,205705000.0,10878000.0,1096451000.0,146602000.0,50685000.0,50685000.0,899164000.0,6821757000.0,3520518000.0,192224000.0,21517000.0,21517000.0,3306777000.0,-6235717000.0,9542494000.0,152809000.0,336285000.0,7021502000.0,1817135000.0,214763000.0,0.0,3301239000.0,65123000.0,0.0,629576000.0,1365504000.0,1365504000.0,-365000.0,1365869000.0,1241036000.0,281964000.0,959072000.0
2021-12-31,46151000.0,244315000.0,290466000.0,311252000.0,1317085000.0,2917760000.0,4080272000.0,1176828000.0,2917760000.0,179089000.0,2942276000.0,3927264000.0,2972546000.0,30270000.0,2942276000.0,19978000.0,19978000.0,219065000.0,1163939000.0,1977134000.0,290000.0,290000.0,0.0,3066008000.0,1386273000.0,196876000.0,120472000.0,120472000.0,1068925000.0,83937000.0,984988000.0,1679735000.0,117741000.0,117741000.0,248160000.0,95152000.0,153008000.0,153008000.0,8194000.0,1305640000.0,227081000.0,10789000.0,1078559000.0,210875000.0,38957000.0,38957000.0,828727000.0,6038554000.0,3181991000.0,126675000.0,24516000.0,24516000.0,3030800000.0,-5770658000.0,8801458000.0,74662000.0,265036000.0,6532060000.0,1711560000.0,218140000.0,0.0,2856563000.0,33601000.0,962000.0,484959000.0,1258767000.0,1258767000.0,-440000.0,1259207000.0,1078274000.0,251530000.0,826744000.0
