date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,52291000.0,52291000.0,143719000.0,1486052000.0,1949449000.0,1044546000.0,1486052000.0,143719000.0,1949449000.0,1949449000.0,1949449000.0,1949449000.0,-1183000.0,-1183000.0,90351000.0,1860229000.0,52000.0,52000.0,0.0,377624000.0,182436000.0,16488000.0,44040000.0,121908000.0,121908000.0,195188000.0,26745000.0,21811000.0,21811000.0,146632000.0,83470000.0,63162000.0,63162000.0,2327073000.0,1087339000.0,34656000.0,15512000.0,48150000.0,48150000.0,239036000.0,,239036000.0,239036000.0,463397000.0,27461000.0,435936000.0,286588000.0,-269669000.0,556257000.0,80683000.0,734000.0,126688000.0,260151000.0,64148000.0,23853000.0,0.0,1239734000.0,28057000.0,100796000.0,299092000.0,82919000.0,216173000.0,216009000.0,216009000.0,0.0,216009000.0,595780000.0,56160000.0,539620000.0,,
2024-03-31,53491000.0,53491000.0,155216000.0,1351500000.0,1817014000.0,919799000.0,1351500000.0,155216000.0,1817014000.0,1817014000.0,1817014000.0,1817014000.0,-2603000.0,-2603000.0,58916000.0,1760648000.0,53000.0,53000.0,0.0,414562000.0,228169000.0,41580000.0,52013000.0,134576000.0,134576000.0,186393000.0,31866000.0,20640000.0,20640000.0,133887000.0,78342000.0,55545000.0,55545000.0,2231576000.0,1125384000.0,68634000.0,60750000.0,48649000.0,48649000.0,173374000.0,,173374000.0,173374000.0,465514000.0,29578000.0,435936000.0,308463000.0,-253414000.0,561877000.0,81118000.0,9000.0,138288000.0,254553000.0,64056000.0,23853000.0,0.0,1106192000.0,55198000.0,134726000.0,227248000.0,96406000.0,130842000.0,162478000.0,162478000.0,0.0,162478000.0,526542000.0,23778000.0,502764000.0,,
2023-03-31,55098000.0,55098000.0,141073000.0,1183470000.0,1658282000.0,801516000.0,1183470000.0,141073000.0,1658282000.0,1658282000.0,1658282000.0,1658282000.0,-2539000.0,-2539000.0,-9320000.0,1670086000.0,55000.0,55000.0,0.0,405684000.0,189344000.0,7700000.0,59013000.0,122631000.0,122631000.0,216340000.0,42309000.0,18442000.0,18442000.0,155589000.0,74127000.0,81462000.0,81462000.0,2063966000.0,1046110000.0,73729000.0,134363000.0,35580000.0,35580000.0,36509000.0,,36509000.0,36509000.0,474812000.0,38876000.0,435936000.0,291117000.0,-234221000.0,525338000.0,55733000.0,14350000.0,128145000.0,239201000.0,64056000.0,23853000.0,0.0,1017856000.0,57026000.0,96145000.0,233450000.0,117362000.0,116088000.0,150473000.0,150473000.0,0.0,150473000.0,480762000.0,34978000.0,445784000.0,,
2022-03-31,56596000.0,56596000.0,177842000.0,1005881000.0,1599817000.0,575232000.0,1005881000.0,177842000.0,1599817000.0,1599817000.0,1599817000.0,1599817000.0,-2045000.0,-2045000.0,23435000.0,1578370000.0,57000.0,57000.0,0.0,523583000.0,258800000.0,22255000.0,73383000.0,163162000.0,163162000.0,264783000.0,52700000.0,14680000.0,14680000.0,197403000.0,81986000.0,115417000.0,115417000.0,2123400000.0,1283385000.0,91552000.0,195000000.0,11068000.0,11068000.0,63749000.0,63749000.0,63749000.0,63749000.0,593936000.0,158145000.0,435791000.0,328080000.0,-216262000.0,544342000.0,53611000.0,5566000.0,171003000.0,226579000.0,63730000.0,23853000.0,0.0,840015000.0,40078000.0,40822000.0,138436000.0,43248000.0,95188000.0,240264000.0,240264000.0,0.0,240264000.0,380415000.0,10601000.0,369814000.0,217400000.0,152414000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312759000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405819000.0,36345000.0
