date,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,77114633.0,77114633.0,39227000.0,738242000.0,961082000.0,473783000.0,738242000.0,25913000.0,947768000.0,959976000.0,947768000.0,947768000.0,-10840000.0,-10840000.0,120945000.0,837586000.0,77000.0,77000.0,0.0,198447000.0,67102000.0,19344000.0,18000000.0,18000000.0,,29758000.0,17550000.0,12208000.0,131345000.0,15847000.0,15847000.0,9469000.0,8363000.0,1106000.0,1106000.0,32111000.0,73918000.0,8662000.0,65256000.0,2969000.0,2969000.0,62287000.0,1146215000.0,541087000.0,6740000.0,92012000.0,92012000.0,209526000.0,10355000.0,199171000.0,232809000.0,-379968000.0,612777000.0,101374000.0,63147000.0,22579000.0,361975000.0,46578000.0,17124000.0,0.0,605128000.0,35389000.0,3746000.0,,101676000.0,17763000.0,38366000.0,45547000.0,104294000.0,104294000.0,-4000.0,104298000.0,360023000.0,169295000.0,190728000.0
2023-12-31,77376903.0,77376903.0,48145000.0,694776000.0,923193000.0,442685000.0,694776000.0,33756000.0,908804000.0,922118000.0,908804000.0,908804000.0,-4052000.0,-4052000.0,51331000.0,861448000.0,77000.0,77000.0,0.0,197990000.0,66895000.0,10247000.0,18000000.0,18000000.0,0.0,38648000.0,25334000.0,13314000.0,131095000.0,16704000.0,16704000.0,9497000.0,8422000.0,1075000.0,1075000.0,24336000.0,80558000.0,8496000.0,72062000.0,8205000.0,8205000.0,63857000.0,1106794000.0,533014000.0,5104000.0,78964000.0,78964000.0,214028000.0,12938000.0,201090000.0,234918000.0,-358021000.0,592939000.0,91063000.0,67136000.0,30519000.0,340571000.0,46526000.0,17124000.0,0.0,573780000.0,29667000.0,1152000.0,,111685000.0,21541000.0,39336000.0,50808000.0,102957000.0,102957000.0,-501000.0,103458000.0,328319000.0,150507000.0,177812000.0
2022-12-31,76914590.0,76914590.0,50374000.0,570090000.0,823719000.0,324885000.0,570090000.0,34940000.0,808285000.0,822674000.0,808285000.0,808285000.0,-5578000.0,-5578000.0,-31056000.0,844842000.0,77000.0,77000.0,0.0,199943000.0,50276000.0,5568000.0,2732000.0,0.0,2732000.0,41976000.0,27587000.0,14389000.0,149667000.0,29846000.0,29846000.0,8398000.0,7353000.0,1045000.0,1045000.0,20449000.0,90974000.0,8849000.0,82125000.0,12817000.0,12817000.0,69308000.0,1008228000.0,533676000.0,6625000.0,67646000.0,67646000.0,238195000.0,26751000.0,211444000.0,221210000.0,-335711000.0,556921000.0,86500000.0,47458000.0,31362000.0,329533000.0,44932000.0,17136000.0,0.0,474552000.0,23895000.0,1221000.0,,123157000.0,21364000.0,46067000.0,55726000.0,88143000.0,88143000.0,-168000.0,88311000.0,238136000.0,129006000.0,109130000.0
2021-12-31,78240506.0,78240506.0,63275000.0,567139000.0,840145000.0,375285000.0,567139000.0,38910000.0,815780000.0,831214000.0,815780000.0,815780000.0,-1449000.0,-1449000.0,-81794000.0,898945000.0,78000.0,78000.0,0.0,204740000.0,55986000.0,5920000.0,3623000.0,,3623000.0,46443000.0,31009000.0,15434000.0,148754000.0,23224000.0,23224000.0,16832000.0,7901000.0,8931000.0,8931000.0,34399000.0,74299000.0,8351000.0,65948000.0,8086000.0,,57862000.0,1020520000.0,496481000.0,4080000.0,61995000.0,61995000.0,248641000.0,36342000.0,212299000.0,181765000.0,-312700000.0,494465000.0,82266000.0,25924000.0,35210000.0,304592000.0,41722000.0,4751000.0,0.0,524039000.0,18652000.0,2233000.0,18652000.0,111548000.0,17940000.0,35935000.0,57673000.0,115541000.0,115541000.0,-195000.0,115736000.0,276065000.0,125055000.0,151010000.0
