date,Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Unrealized Gain Loss,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Dueto Related Parties Current,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Duefrom Related Parties Current,Notes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,25932733242.0,25932733242.0,1047042100000.0,4217984000000.0,5262553300000.0,1779696200000.0,4217984000000.0,28755300000.0,4244266500000.0,5202695400000.0,4279271600000.0,35005100000.0,4244266500000.0,38705000000.0,40413126000.0,1310307000.0,40262995000.0,-1160176000.0,,3872973400000.0,73260800000.0,259327300000.0,259327300000.0,2412493100000.0,1103837200000.0,105083800000.0,7580700000.0,7580700000.0,3988500000.0,3988500000.0,987184200000.0,28755300000.0,958428900000.0,1308655900000.0,466500000.0,59857900000.0,59857900000.0,59857900000.0,70871200000.0,1177460300000.0,451158800000.0,726301500000.0,47451500000.0,1426000000.0,220418800000.0,191569400000.0,191569400000.0,265435800000.0,6691764700000.0,3603412600000.0,81715400000.0,5495900000.0,65943300000.0,65943300000.0,148867000000.0,111619200000.0,88596500000.0,96419400000.0,15199800000.0,37247800000.0,37247800000.0,26282500000.0,20211600000.0,6070900000.0,3275108500000.0,-4775331300000.0,8050439800000.0,1080284200000.0,201700000.0,5957681000000.0,962237700000.0,50035200000.0,0.0,3088352100000.0,43237400000.0,11000000.0,287868800000.0,35177000000.0,181198800000.0,71493000000.0,272087900000.0,1404700000.0,270683200000.0,270683235000.0,-453009000.0,271136244000.0,2485147000000.0,357520000000.0,2127627000000.0,6952200000.0,2120674800000.0
2023-12-31,0.0,25932070992.0,25932070992.0,956257900000.0,3406755700000.0,4357098500000.0,1251227800000.0,3406755700000.0,28681800000.0,3429522400000.0,4347805200000.0,3453866500000.0,24344100000.0,3429522400000.0,-28314300000.0,-28020822000.0,1395875000.0,-25316769000.0,-4099928000.0,0.0,3128639600000.0,69876400000.0,259320700000.0,259320700000.0,2078330100000.0,1135525000000.0,179249400000.0,9257200000.0,9257200000.0,53800000.0,53800000.0,946964600000.0,28681800000.0,918282800000.0,942805100000.0,27455600000.0,9293300000.0,9293300000.0,9293300000.0,50716900000.0,855339300000.0,296667900000.0,558671400000.0,33200600000.0,1566300000.0,168558500000.0,128134600000.0,128134600000.0,227211400000.0,5532196600000.0,3338163700000.0,10009400000.0,7044500000.0,64175800000.0,64175800000.0,129267600000.0,99825600000.0,79199400000.0,86408100000.0,13417500000.0,29442000000.0,29442000000.0,22766700000.0,16970300000.0,5796400000.0,3104899700000.0,-4154121200000.0,7259020900000.0,908289800000.0,50700000.0,5484852300000.0,820769000000.0,45059100000.0,0.0,2194032900000.0,26222400000.0,0.0,250997100000.0,34511000000.0,156498500000.0,59987600000.0,202010200000.0,696300000.0,201313900000.0,201313914000.0,-531554000.0,201845468000.0,1714803200000.0,249375400000.0,1465427800000.0,12326200000.0,1453101600000.0
2022-12-31,,25930380458.0,25930380458.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,29764100000.0,2903019700000.0,3742116100000.0,2917832400000.0,14812700000.0,2903019700000.0,-20505600000.0,,,,,0.0,2594891200000.0,69330300000.0,259303800000.0,259303800000.0,2046626700000.0,1060063100000.0,180850100000.0,9321100000.0,9321100000.0,1031400000.0,1031400000.0,868860500000.0,29764100000.0,839096400000.0,986563600000.0,117000000.0,19313900000.0,19313900000.0,19313900000.0,61748600000.0,905384100000.0,293171000000.0,612213100000.0,36435500000.0,1642600000.0,142617100000.0,163138600000.0,163138600000.0,268379300000.0,4964459100000.0,2911562400000.0,7551100000.0,4467100000.0,69185900000.0,69185900000.0,68608100000.0,41286400000.0,35127200000.0,41286400000.0,0.0,27321700000.0,27321700000.0,25999200000.0,20207400000.0,5791800000.0,2735751000000.0,-3668706200000.0,6404457200000.0,1336842600000.0,21300000.0,4381002100000.0,640403600000.0,46187600000.0,0.0,2052896700000.0,12888800000.0,949800000.0,221149100000.0,54818400000.0,125661900000.0,40668800000.0,231408900000.0,1653000000.0,229755900000.0,,,,1586500100000.0,243686000000.0,1342814100000.0,13522700000.0,1329291400000.0
2021-12-31,,25930380458.0,25930380458.0,753631900000.0,2122438100000.0,2882127500000.0,848720100000.0,2122438100000.0,20764200000.0,2149259800000.0,2762639500000.0,2151682500000.0,2422700000.0,2149259800000.0,-62608400000.0,370451000000.0,370451000000.0,,,,1887802900000.0,64761500000.0,259303800000.0,259303800000.0,1573619700000.0,815266900000.0,168212200000.0,11036900000.0,11036900000.0,1873900000.0,1873900000.0,634143900000.0,20764200000.0,613379700000.0,758352800000.0,691500000.0,119488000000.0,119488000000.0,119488000000.0,36524700000.0,601648600000.0,162267800000.0,439380800000.0,23802100000.0,1437200000.0,142617100000.0,78496600000.0,78496600000.0,193027800000.0,3725302200000.0,2118229300000.0,2592200000.0,2624900000.0,49153900000.0,49153900000.0,29183500000.0,7421300000.0,1533400000.0,7421300000.0,,21762200000.0,21762200000.0,26821700000.0,21442500000.0,5379200000.0,2007853100000.0,-3262031100000.0,5269884200000.0,593155700000.0,4700000.0,4060941100000.0,579515900000.0,36266800000.0,0.0,1607072900000.0,10521500000.0,172500000.0,193102300000.0,32562800000.0,137700400000.0,22839100000.0,198362900000.0,776800000.0,197586100000.0,197586100000.0,-347000000.0,197933100000.0,1204913700000.0,139923500000.0,1064990200000.0,6182100000.0,1058808100000.0
