date,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Employee Benefits,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investments And Advances,Other Investments,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,87000.0,111550000.0,111637000.0,,180813000.0,2640550000.0,2834131000.0,1475225000.0,2640550000.0,2653318000.0,2785755000.0,2640180000.0,-13138000.0,2653318000.0,236551000.0,-74188000.0,-74188000.0,9072000.0,675479000.0,1377986000.0,446562000.0,446562000.0,440305000.0,155241000.0,4985000.0,17819000.0,7690000.0,10129000.0,132437000.0,132437000.0,285064000.0,1712000.0,21655000.0,21655000.0,48376000.0,48376000.0,65199000.0,148122000.0,,,148122000.0,5070000.0,12428000.0,130624000.0,3080485000.0,1320196000.0,1870000.0,2514000.0,1768000.0,1768000.0,,6780000.0,,6780000.0,12768000.0,5768000.0,7000000.0,1294496000.0,-3458759000.0,4753255000.0,7874000.0,4281817000.0,463564000.0,1760289000.0,32985000.0,268295000.0,22482000.0,118642000.0,127171000.0,240764000.0,1281000.0,27551000.0,211932000.0,-4982000.0,216914000.0,1218245000.0,946351000.0,271894000.0
2023-12-31,87000.0,110824754.0,110911754.0,,231563000.0,2417691000.0,2664062000.0,1432320000.0,2417691000.0,2432499000.0,2605110000.0,2427039000.0,-5460000.0,2432499000.0,202343000.0,-52935000.0,-52935000.0,9072000.0,467615000.0,1380917000.0,443631000.0,443631000.0,491478000.0,214640000.0,6098000.0,35931000.0,25710000.0,10221000.0,172611000.0,172611000.0,276838000.0,1386000.0,18418000.0,18418000.0,58952000.0,58952000.0,51054000.0,147028000.0,286000.0,286000.0,147028000.0,500000.0,7400000.0,139128000.0,2918517000.0,1209359000.0,1672000.0,18598000.0,1810000.0,1810000.0,,6780000.0,,6780000.0,14808000.0,7808000.0,7000000.0,1165691000.0,-3250643000.0,4416334000.0,9762000.0,3977381000.0,429191000.0,1709158000.0,11097000.0,282688000.0,20096000.0,116698000.0,145894000.0,178926000.0,1967000.0,22892000.0,154067000.0,-4790000.0,158857000.0,1236447000.0,975783000.0,260664000.0
2022-12-31,87000.0,109954034.0,110041034.0,,272344000.0,1874338000.0,2163525000.0,1107786000.0,1874338000.0,1891181000.0,2101250000.0,1888541000.0,-2640000.0,1891181000.0,174121000.0,-47537000.0,-47537000.0,9072000.0,-50879000.0,1384398000.0,440150000.0,440150000.0,659067000.0,271679000.0,7711000.0,53899000.0,40893000.0,13006000.0,210069000.0,210069000.0,387388000.0,61199000.0,38911000.0,38911000.0,62275000.0,62275000.0,58920000.0,166083000.0,253000.0,253000.0,165830000.0,6947000.0,7953000.0,150930000.0,2547608000.0,1052434000.0,2076000.0,21395000.0,32787000.0,32787000.0,0.0,6720000.0,0.0,6720000.0,16843000.0,9843000.0,7000000.0,972613000.0,-3043843000.0,4016456000.0,10355000.0,3576824000.0,429277000.0,1495174000.0,9783000.0,302108000.0,26792000.0,116553000.0,158763000.0,177471000.0,2634000.0,21902000.0,152935000.0,-3460000.0,156395000.0,1005812000.0,665053000.0,340759000.0
2021-12-31,87000.0,107923544.0,108010544.0,103910000.0,314840000.0,1600253000.0,1936847000.0,919875000.0,1600253000.0,1622007000.0,1852979000.0,1615389000.0,-6618000.0,1622007000.0,149906000.0,-27883000.0,-27883000.0,9072000.0,-315448000.0,1389051000.0,435453000.0,435453000.0,615852000.0,339524000.0,14622000.0,93930000.0,69968000.0,23962000.0,230972000.0,230972000.0,276328000.0,2109000.0,39992000.0,39992000.0,83868000.0,83868000.0,57747000.0,92612000.0,588000.0,588000.0,92024000.0,3040000.0,10272000.0,78712000.0,2231241000.0,1035038000.0,11942000.0,24993000.0,53526000.0,53526000.0,4372000.0,27655000.0,12500000.0,15155000.0,21754000.0,14754000.0,7000000.0,890796000.0,-2809448000.0,3700244000.0,14113000.0,3254062000.0,432069000.0,1196203000.0,36786000.0,234512000.0,5938000.0,146840000.0,81734000.0,160259000.0,12491000.0,5540000.0,142228000.0,-946000.0,143174000.0,764646000.0,553716000.0,210930000.0
