date,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial
2024-12-31,883000.0,45358000.0,45358000.0,24431000.0,49777000.0,187528000.0,236502000.0,84096000.0,191060000.0,2513000.0,189238000.0,3532000.0,192770000.0,254908000.0,62138000.0,192770000.0,-8657000.0,-8657000.0,-43664000.0,241514000.0,3577000.0,45000.0,3532000.0,84406000.0,10230000.0,8253000.0,1977000.0,1977000.0,74176000.0,1590000.0,1590000.0,47800000.0,536000.0,47264000.0,,47264000.0,3088000.0,21698000.0,3930000.0,17768000.0,1985000.0,2901000.0,526000.0,127000.0,12356000.0,339314000.0,181042000.0,1454000.0,1418000.0,1418000.0,194000.0,14066000.0,,,14066000.0,1710000.0,1710000.0,162200000.0,-76722000.0,238922000.0,7575000.0,23531000.0,2479000.0,67917000.0,137420000.0,0.0,158272000.0,13744000.0,10978000.0,,85077000.0,2555000.0,50779000.0,31743000.0,25640000.0,25640000.0,-147000.0,25787000.0,22833000.0,0.0,22833000.0,
2023-12-31,883000.0,44239000.0,44239000.0,15169000.0,55730000.0,198636000.0,253378000.0,89099000.0,202168000.0,2809000.0,200457000.0,3532000.0,203989000.0,269146000.0,65157000.0,203989000.0,-5999000.0,-5999000.0,-32040000.0,238452000.0,3576000.0,44000.0,3532000.0,89555000.0,7998000.0,5647000.0,2351000.0,2351000.0,81557000.0,305000.0,305000.0,53379000.0,458000.0,52921000.0,,52921000.0,3993000.0,23880000.0,3620000.0,20260000.0,7249000.0,2901000.0,493000.0,0.0,9617000.0,358701000.0,188045000.0,1627000.0,1683000.0,1683000.0,1291000.0,12476000.0,0.0,,12476000.0,1821000.0,1821000.0,169147000.0,-71435000.0,240582000.0,7596000.0,38483000.0,2799000.0,65918000.0,125786000.0,0.0,170656000.0,12643000.0,12362000.0,,86503000.0,3585000.0,50008000.0,32910000.0,19256000.0,19256000.0,-579000.0,19835000.0,39892000.0,2140000.0,37752000.0,
2022-12-31,883000.0,43554000.0,43554000.0,12130000.0,48885000.0,216149000.0,265153000.0,108219000.0,219681000.0,1807000.0,218075000.0,3532000.0,221607000.0,289746000.0,68139000.0,221607000.0,-3118000.0,-3118000.0,-14159000.0,235308000.0,3576000.0,44000.0,3532000.0,80326000.0,5000000.0,3678000.0,1322000.0,1322000.0,75326000.0,338000.0,338000.0,47563000.0,485000.0,47078000.0,,47078000.0,5065000.0,22360000.0,3644000.0,18716000.0,4135000.0,2901000.0,1596000.0,729000.0,10084000.0,370072000.0,186527000.0,1230000.0,2236000.0,2236000.0,1632000.0,16725000.0,2118000.0,2118000.0,14607000.0,1926000.0,1926000.0,162778000.0,-64439000.0,227217000.0,7430000.0,36679000.0,1761000.0,62797000.0,118550000.0,0.0,183545000.0,13977000.0,6400000.0,,89629000.0,3197000.0,39956000.0,46476000.0,29252000.0,29252000.0,-307000.0,29559000.0,44287000.0,9339000.0,34948000.0,34948000.0
2021-12-31,883000.0,42886000.0,42886000.0,,16539000.0,205890000.0,222113000.0,112363000.0,209422000.0,2423000.0,207997000.0,3532000.0,211529000.0,280231000.0,68702000.0,211529000.0,6302000.0,6302000.0,-29970000.0,231622000.0,3575000.0,43000.0,3532000.0,52210000.0,4388000.0,2453000.0,1935000.0,1935000.0,47822000.0,946000.0,946000.0,14604000.0,488000.0,14116000.0,1887000.0,12229000.0,5394000.0,26878000.0,3423000.0,23455000.0,2974000.0,2901000.0,931000.0,539000.0,16649000.0,332441000.0,172256000.0,2369000.0,2340000.0,2340000.0,959000.0,19742000.0,9576000.0,9576000.0,10166000.0,2107000.0,2107000.0,144739000.0,-64354000.0,209093000.0,7039000.0,31664000.0,2324000.0,59284000.0,108782000.0,0.0,160185000.0,17252000.0,0.0,17252000.0,65912000.0,3649000.0,32605000.0,29658000.0,34839000.0,34839000.0,-130000.0,34969000.0,42182000.0,5419000.0,36763000.0,36763000.0
